7SK
A1BG-AS1
A1BG
A1CF
A2M-AS1
A2M
A2ML1
A2MP1
A4GALT
AAAS
AACS
AACSP1
AADAT
AAED1
AAGAB
AAK1
AAMDC
AAMP
AANAT
AAR2
AARD
AARS2
AARS
AASDH
AASDHPPT
AASS
AATF
AATK-AS1
AATK
AB015752.1
ABALON
ABAT
ABBA01031674.1
ABCA11P
ABCA13
ABCA17P
ABCA1
ABCA2
ABCA3
ABCA5
ABCA7
ABCA8
ABCB10
ABCB10P1
ABCB1
ABCB4
ABCB7
ABCB8
ABCB9
ABCC10
ABCC11
ABCC12
ABCC1
ABCC2
ABCC3
ABCC4
ABCC5-AS1
ABCC5
ABCC6
ABCC6P1
ABCC6P2
ABCC8
ABCC9
ABCD1
ABCD2
ABCD3
ABCD4
ABCE1
ABCF1
ABCF2
ABCF3
ABCG1
ABCG4
ABCG5
ABHD10
ABHD11-AS1
ABHD11
ABHD12B
ABHD12
ABHD13
ABHD14A-ACY1
ABHD14A
ABHD14B
ABHD15
ABHD16A
ABHD17A
ABHD17AP1
ABHD17AP3
ABHD17AP6
ABHD17B
ABHD17C
ABHD18
ABHD1
ABHD2
ABHD3
ABHD4
ABHD5
ABHD6
ABHD8
ABI1
ABI1P1
ABI2
ABI3BP
ABI3
ABL1
ABL2
ABLIM1
ABLIM2
ABLIM3
ABO
ABRACL
ABRA
ABRAXAS1
ABRAXAS2
ABR
ABT1
ABTB1
ABTB2
AC000068.1
AC000068.3
AC000089.1
AC000095.2
AC000123.2
AC000123.3
AC000124.1
AC000367.1
AC001226.1
AC001226.2
AC002044.1
AC002044.2
AC002044.3
AC002056.1
AC002064.2
AC002064.3
AC002075.2
AC002076.1
AC002094.4
AC002094.5
AC002115.1
AC002116.2
AC002128.1
AC002306.1
AC002310.1
AC002310.2
AC002310.3
AC002310.6
AC002350.1
AC002350.2
AC002366.1
AC002367.1
AC002368.1
AC002398.1
AC002401.3
AC002407.1
AC002429.1
AC002429.2
AC002454.1
AC002456.1
AC002467.1
AC002470.1
AC002480.3
AC002519.1
AC002524.1
AC002525.1
AC002545.1
AC002546.1
AC002550.1
AC002551.1
AC002553.1
AC002553.2
AC002553.4
AC002558.1
AC002558.2
AC002558.3
AC002984.1
AC002985.2
AC003002.1
AC003002.3
AC003029.1
AC003035.1
AC003071.1
AC003072.1
AC003075.1
AC003102.1
AC003659.1
AC003666.1
AC003681.1
AC003682.1
AC003956.1
AC003958.2
AC003965.1
AC003982.1
AC003982.2
AC003989.2
AC003991.1
AC003991.2
AC004012.1
AC004023.1
AC004024.1
AC004034.1
AC004039.1
AC004053.1
AC004057.1
AC004063.1
AC004069.1
AC004076.2
AC004080.1
AC004112.1
AC004130.1
AC004148.2
AC004156.1
AC004158.1
AC004160.1
AC004217.1
AC004217.2
AC004217.3
AC004221.1
AC004223.4
AC004231.1
AC004232.2
AC004233.3
AC004233.4
AC004241.1
AC004241.3
AC004241.5
AC004257.1
AC004264.1
AC004264.2
AC004386.1
AC004408.2
AC004448.1
AC004448.2
AC004453.1
AC004466.1
AC004467.1
AC004471.1
AC004471.2
AC004477.1
AC004477.3
AC004491.1
AC004494.1
AC004520.1
AC004522.2
AC004528.1
AC004540.1
AC004540.2
AC004543.1
AC004552.1
AC004584.3
AC004594.1
AC004623.1
AC004656.1
AC004672.2
AC004678.1
AC004678.2
AC004686.1
AC004691.1
AC004692.2
AC004702.1
AC004706.3
AC004754.1
AC004771.3
AC004801.1
AC004801.6
AC004803.1
AC004808.2
AC004812.2
AC004816.1
AC004816.2
AC004825.2
AC004832.1
AC004832.5
AC004834.1
AC004835.1
AC004839.1
AC004846.1
AC004846.2
AC004847.1
AC004854.2
AC004865.1
AC004865.2
AC004877.1
AC004877.2
AC004882.1
AC004884.1
AC004884.2
AC004888.1
AC004890.1
AC004890.2
AC004890.3
AC004893.2
AC004895.1
AC004898.1
AC004908.1
AC004908.2
AC004908.3
AC004918.1
AC004918.3
AC004922.1
AC004923.1
AC004923.2
AC004923.4
AC004938.1
AC004941.1
AC004943.1
AC004943.2
AC004943.3
AC004947.2
AC004951.1
AC004951.4
AC004967.1
AC004975.1
AC004980.1
AC004980.3
AC004982.1
AC004982.2
AC004987.2
AC004988.1
AC005000.1
AC005005.2
AC005005.3
AC005005.4
AC005006.1
AC005009.2
AC005014.3
AC005034.2
AC005034.3
AC005034.4
AC005034.5
AC005041.1
AC005041.3
AC005046.1
AC005052.1
AC005062.1
AC005070.3
AC005072.1
AC005076.1
AC005086.1
AC005086.3
AC005089.1
AC005091.1
AC005096.1
AC005099.1
AC005104.2
AC005154.1
AC005154.3
AC005154.4
AC005162.1
AC005162.3
AC005165.1
AC005180.1
AC005180.2
AC005183.1
AC005197.1
AC005224.1
AC005224.3
AC005224.4
AC005225.1
AC005225.2
AC005229.1
AC005229.4
AC005234.1
AC005237.1
AC005253.1
AC005256.1
AC005261.1
AC005261.2
AC005261.3
AC005261.4
AC005261.5
AC005261.6
AC005262.1
AC005277.2
AC005288.1
AC005300.1
AC005304.2
AC005304.3
AC005306.1
AC005324.1
AC005324.3
AC005326.1
AC005329.1
AC005330.1
AC005332.10
AC005332.1
AC005332.3
AC005332.4
AC005332.5
AC005332.6
AC005332.7
AC005332.8
AC005332.9
AC005336.2
AC005342.1
AC005355.2
AC005357.2
AC005363.1
AC005363.2
AC005383.1
AC005391.1
AC005393.1
AC005410.1
AC005412.1
AC005476.1
AC005476.2
AC005479.3
AC005480.1
AC005481.1
AC005498.2
AC005498.3
AC005517.1
AC005517.2
AC005519.1
AC005519.2
AC005520.2
AC005520.3
AC005521.1
AC005522.2
AC005524.1
AC005532.1
AC005534.2
AC005537.1
AC005550.2
AC005562.1
AC005578.1
AC005593.1
AC005614.1
AC005618.1
AC005618.2
AC005625.1
AC005632.2
AC005670.1
AC005674.2
AC005682.1
AC005692.1
AC005692.2
AC005695.1
AC005695.2
AC005696.1
AC005696.3
AC005696.4
AC005697.2
AC005699.1
AC005702.1
AC005703.5
AC005726.2
AC005726.4
AC005726.6
AC005730.2
AC005730.3
AC005736.1
AC005736.2
AC005740.1
AC005740.3
AC005753.1
AC005757.1
AC005759.1
AC005775.1
AC005776.1
AC005776.2
AC005785.1
AC005785.2
AC005786.1
AC005786.2
AC005790.1
AC005796.1
AC005822.1
AC005828.2
AC005828.3
AC005829.1
AC005831.1
AC005832.2
AC005833.2
AC005837.1
AC005837.3
AC005838.2
AC005839.1
AC005840.1
AC005840.2
AC005840.3
AC005856.1
AC005858.1
AC005863.1
AC005865.2
AC005899.1
AC005899.2
AC005899.5
AC005899.6
AC005899.7
AC005899.8
AC005911.1
AC005912.1
AC005920.1
AC005920.2
AC005920.4
AC005921.3
AC005954.2
AC005962.2
AC005972.1
AC005972.4
AC005996.1
AC006001.3
AC006012.1
AC006030.1
AC006042.3
AC006058.1
AC006058.2
AC006058.3
AC006059.1
