"","GENE","FREQUENCY"
"292","MARCKSL1",1
"293","MARK4",1
"294","MCM3",1
"295","MED31",1
"296","MEG3",1
"297","MELK",1
"298","METTL12",1
"299","MFAP4",1
"300","MFAP5",1
"301","MFGE8",1
"302","MGST1",1
"303","MIR4435-2HG",1
"304","MIR503HG",1
"305","MIR99AHG",1
"306","MITD1",1
"307","MKI67",1
"308","MMP1",1
"309","MMP14",1
"310","MMP3",1
"311","MOK",1
"312","MPP1",1
"313","MRPL18",1
"314","MRPL44",1
"315","MSX1",1
"316","MT-ATP6",1
"317","MT1E",1
"318","MT1X",1
"319","MT2A",1
"320","MYC",1
"321","MYEOV",1
"322","MYL12A",1
"323","MYL12B",1
"324","MYL9",1
"325","NBL1",1
"326","NCL",1
"327","NDUFA4L2",1
"328","NEAT1",1
"329","NIFK",1
"330","NKIRAS1",1
"331","NMB",1
"332","NNMT",1
"333","NOL8",1
"334","NOP16",1
"335","NOP58",1
"336","NPAS1",1
"337","NPW",1
"338","NQO1",1
"339","NREP",1
"340","NRN1",1
"341","NTNG1",1
"342","NUPL2",1
"343","NUSAP1",1
"344","NXF1",1
"345","ODC1",1
"346","OLFM2",1
"347","OLFML2B",1
"348","OSBPL5",1
"349","OSER1",1
"350","OSR2",1
"351","OXTR",1
"352","PAK1IP1",1
"353","PALM",1
"354","PARP4",1
"355","PCF11",1
"356","PCOLCE",1
"357","PCOLCE2",1
"358","PDCD7",1
"359","PDE1C",1
"360","PENK",1
"361","PFDN2",1
"362","PGF",1
"363","PGK1",1
"364","PHACTR3",1
"365","PHF19",1
"366","PHGDH",1
"367","PHIP",1
"368","PHLDA1",1
"369","PHLDA2",1
"370","PI16",1
"371","PIGL",1
"372","PIM3",1
"373","PITX2",1
"374","PLA2G16",1
"375","PLAA",1
"376","PLK1",1
"377","PLK2",1
"378","PLPP1",1
"379","PMAIP1",1
"380","PNO1",1
"381","PODXL",1
"382","POSTN",1
"383","PPP1R14A",1
"384","PPP1R15A",1
"385","PPP2CA",1
"386","PRC1",1
"387","PRDX6",1
"388","PRELP",1
"389","PRKCDBP",1
"390","PRMT1",1
"391","PRPS1",1
"392","PRSS23",1
"393","PRSS3",1
"394","PSG4",1
"395","PSG5",1
"396","PSMB9",1
"397","PSMC3IP",1
"398","PSMD12",1
"399","PSME2",1
"400","PTGDS",1
"401","PTGER1",1
"402","PTMA",1
"403","PTN",1
"404","PTP4A1",1
"405","PTTG1",1
"406","PYURF",1
"407","QPRT",1
"408","RABGAP1",1
"409","RAN",1
"410","RANBP1",1
"411","RBM19",1
"412","RCAN2",1
"413","RCHY1",1
"414","RGL1",1
"415","RGMB",1
"416","RND3",1
"417","RP11-400N13.3",1
"418","RSRC1",1
"419","RSRC2",1
"420","RSRP1",1
"421","S100A10",1
"422","S100A4",1
"423","SAP18",1
"424","SAT1",1
"425","SBSN",1
"426","SCARA3",1
"427","SCG5",1
"428","SCML1",1
"429","SDC2",1
"430","SDCBP",1
"431","SEH1L",1
"432","SELENBP1",1
"433","SERPINB2",1
"434","SERPINE1",1
"435","SERPINE2",1
"436","SERPINF1",1
"437","SERTAD1",1
"438","SERTAD4-AS1",1
"439","SF3B4",1
"440","SFRP2",1
"441","SGCE",1
"442","SGK1",1
"443","SGPL1",1
"444","SHCBP1",1
"445","SKP1",1
"446","SLC25A33",1
"447","SLC3A2",1
"448","SLC9A3R1",1
"449","SLC9A3R2",1
"450","SMC4",1
"451","SMC6",1
"452","SMIM3",1
"453","SMOX",1
"454","SMS",1
"455","SMYD3",1
"456","SNAI1",1
"457","SNAPC1",1
"458","SNCG",1
"459","SNHG15",1
"460","SNRPB2",1
"461","SNX16",1
"462","SOCS2",1
"463","SOD2",1
"464","SOD3",1
"465","SOX4",1
"466","SP1",1
"467","SPEN",1
"468","SQSTM1",1
"469","SRSF2",1
"470","SRSF7",1
"471","SSB",1
"472","STC2",1
"473","STMN1",1
"474","STMN2",1
"475","STX3",1
"476","SUGCT",1
"477","SULF1",1
"478","SUPT20H",1
"479","SUPV3L1",1
"480","SVIP",1
"481","SYNPO2",1
"482","SYTL2",1
"483","TAF1D",1
"484","TAF7",1
"485","TAGLN",1
"486","TBC1D1",1
"487","TBC1D15",1
"488","TBX3",1
"489","TERF2IP",1
"490","TEX30",1
"491","TFAM",1
"492","TFB2M",1
"493","TFPI2",1
"494","TGFBI",1
"495","TGM2",1
"496","THAP2",1
"497","THBD",1
"498","THBS1",1
"499","TIMP1",1
"500","TIMP3",1
"501","TK1",1
"502","TLK1",1
"503","TMEM204",1
"504","TMEM38B",1
"505","TMEM39A",1
"506","TMEM55B",1
"507","TNC",1
