"","GENE","FREQUENCY"
"1","ABCA1",1
"2","AC037198.2",1
"3","ADAMTS1",1
"4","ADAMTS4",1
"5","AKAP12",1
"6","ALKAL2",1
"7","ANGPTL4",1
"8","APOD",1
"9","AREG",1
"10","ARL4D",1
"11","ARRDC3",1
"12","ASPN",1
"13","ATF3",1
"14","B4GALT1",1
"15","BAMBI",1
"16","BGN",1
"17","BHLHE40",1
"18","BIRC3",1
"19","BTG1",1
"20","BTG2",1
"21","C10orf10",1
"22","C11orf96",1
"23","C7",1
"24","C8orf4",1
"25","CCDC71L",1
"26","CCDC80",1
"27","CD83",1
"28","CD9",1
"29","CH25H",1
"30","CILP",1
"31","CITED2",1
"32","CLU",1
"33","COL12A1",1
"34","COL1A1",1
"35","COL6A3",1
"36","CPE",1
"37","CRYAB",1
"38","CTGF",1
"39","CXCL8",1
"40","CYP1B1",1
"41","CYP4B1",1
"42","DNAJB4",1
"43","DPT",1
"44","DUSP1",1
"45","DUSP6",1
"46","EIF4A3",1
"47","ELL2",1
"48","EMP3",1
"49","ENC1",1
"50","EPHA3",1
"51","ERRFI1",1
"52","F3",1
"53","FAM46A",1
"54","FBP1",1
"55","FGF7",1
"56","FILIP1L",1
"57","FOSB",1
"58","FRZB",1
"59","G0S2",1
"60","GADD45A",1
"61","GAS1",1
"62","GEM",1
"63","GPRC5A",1
"64","GTF2B",1
"65","H1F0",1
"66","HAS1",1
"67","HAS2",1
"68","HES1",1
"69","HGF",1
"70","HILPDA",1
"71","HSPA6",1
"72","HSPB1",1
"73","HTRA3",1
"74","ID1",1
"75","ID2",1
"76","ID3",1
"77","IGF1",1
"78","IGFBP2",1
"79","IGFBP4",1
"80","IGFBP5",1
"81","INMT",1
"82","INSR",1
"83","KCNE4",1
"84","KCNQ1OT1",1
"85","KDR",1
"86","KLF4",1
"87","KLF6",1
"88","LEPR",1
"89","LINC01088",1
"90","LTBP2",1
"91","LXN",1
"92","MAP1B",1
"93","MEDAG",1
"94","MEG3",1
"95","MEGF6",1
"96","MFAP5",1
"97","MT1A",1
"98","MT1E",1
"99","MT1M",1
"100","MT1X",1
"101","MT2A",1
"102","MYC",1
"103","MYL9",1
"104","MYOC",1
"105","NABP1",1
"106","NR4A1",1
"107","NR4A2",1
"108","OSR2",1
"109","OTUD1",1
"110","PCOLCE2",1
"111","PDGFRL",1
"112","PDK4",1
"113","PGF",1
"114","PHLDA1",1
"115","PHLDA2",1
"116","PIM1",1
"117","PLA2G2A",1
"118","PLAT",1
"119","PLIN2",1
"120","PTGDS",1
"121","PTGS2",1
"122","RAMP1",1
"123","RARRES1",1
"124","RASD1",1
"125","RCAN1",1
"126","RDH10",1
"127","RGS16",1
"128","RGS2",1
"129","RRAD",1
"130","S100A10",1
"131","SDC4",1
"132","SEMA3D",1
"133","SERPINE1",1
"134","SFRP2",1
"135","SFRP4",1
"136","SGK1",1
"137","SLC2A3",1
"138","SOD2",1
"139","SOX4",1
"140","SRPX",1
"141","STEAP4",1
"142","THBS1",1
"143","TIMP1",1
"144","TM4SF1",1
"145","TMEM100",1
"146","TNFAIP2",1
"147","TNFAIP6",1
"148","TNFRSF12A",1
"149","TPM2",1
"150","TPPP3",1
"151","TRAC",1
"152","TSC22D1",1
"153","TUBA1A",1
"154","TUBB2A",1
"155","TXNIP",1
"156","VCAN",1
"157","WISP2",1
"158","WNK3",1
"159","YPEL2",1
"160","ZMYM1",1
"161","ZNF331",1
"162","CD248",0.999
"163","CREM",0.999
"164","FBN1",0.999
"165","ITGB8",0.999
"166","LPAR6",0.998
"167","CREB5",0.997
"168","DHRS3",0.997
"169","GALNT15",0.997
"170","HIST1H1C",0.997
"171","INSIG1",0.997
"172","KBTBD7",0.997
"173","MARCKSL1",0.997
"174","PLAUR",0.997
"175","RHOB",0.997
"176","TXN",0.997
"177","GJA1",0.996
"178","SYNPO2",0.995
"179","AC016831.1",0.994
"180","SAT1",0.994
"181","THBS2",0.993
"182","HBEGF",0.992
"183","IFI6",0.992
"184","TMEM70",0.992
"185","FST",0.991
"186","SLC1A3",0.991
"187","NNMT",0.99
"188","COL14A1",0.989
"189","PI16",0.985
"190","SPSB1",0.982
"191","ABL2",0.981
"192","GLRX",0.98
"193","CD34",0.979
"194","COL8A1",0.977
"195","GADD45B",0.975
"196","THBD",0.967
"197","AC058791.1",0.966
"198","MAFB",0.965
"199","SEPHS2",0.965
"200","ELMSAN1",0.963
"201","OSR1",0.961
"202","BAG3",0.958
"203","MYLIP",0.958
"204","ITGA2",0.955
"205","SLC20A1",0.955
"206","PRPS2",0.954
"207","ANO3",0.95
"208","IL32",0.949
"209","NPY1R",0.947
"210","AKR1C1",0.946
"211","NAMPTP1",0.943
"212","CA3",0.942
"213","CEP290",0.942
"214","AP000437.1",0.937
"215","ADAMTS5",0.932
"216","TIPARP",0.932
"217","MID1IP1",0.929
"218","AVPI1",0.928
"219","NFKBIE",0.928
"220","BMP2",0.925
"221","SEPT4",0.922
"222","CSRP2",0.921
"223","PLK2",0.921
"224","ANKRD28",0.92
"225","AC116366.1",0.917
"226","RGN",0.914
"227","FGF9",0.913
"228","STK17A",0.913
"229","PHLDB2",0.912
"230","CRLF1",0.911
"231","HLA-DRA",0.911
"232","IER2",0.911
"233","VEGFD",0.911
"234","TSKU",0.909
"235","EGLN3",0.908
"236","SYNE2",0.908
"237","COMP",0.906
"238","PROCR",0.906
"239","TNFRSF10D",0.902
"240","HES4",0.901
"241","HNRNPH1",0.9
"242","C2orf40",0.899
"243","ID4",0.894
"244","CYCS",0.892
"245","EIF1B",0.892
"246","SFTA1P",0.892
"247","SNAI2",0.892
"248","FADS1",0.889
"249","FN1",0.889
"250","IER3",0.889
"251","PGAP1",0.889
"252","RSPO3",0.886
"253","ITGA8",0.884
"254","CTHRC1",0.883
"255","SFRP1",0.883
"256","OSMR",0.878
"257","MYH11",0.877
"258","IGFBP3",0.872
"259","LINC00968",0.867
"260","TBX3",0.859
"261","DACT1",0.858
"262","ACTA2",0.857
"263","MEG8",0.855
"264","NAMPT",0.854
"265","DBN1",0.846
"266","CDH13",0.845
"267","LMOD1",0.845
"268","EDNRB",0.843
"269","TSC22D3",0.841
"270","COL5A3",0.839
"271","MGST1",0.836
"272","DNAJC27",0.833
"273","GLA",0.832
"274","ATP1B1",0.827
"275","PHGDH",0.827
"276","SCARA5",0.826
"277","SMOC2",0.826
"278","CYR61",0.823
"279","IGFBP6",0.822
"280","SNORD50B",0.822
"281","MME",0.82
"282","AQP3",0.818
"283","SEMA5A",0.818
"284","NET1",0.817
"285","SRGN",0.815
"286","RICTOR",0.814
"287","SLC16A12",0.814
"288","LUM",0.813
"289","NTRK3",0.811
"290","MACF1",0.809
"291","RAPGEF5",0.809
"292","APOL2",0.808
"293","CAVIN2",0.806
"294","ATOH8",0.804
"295","FIBIN",0.803
"296","CDC42EP3",0.802
"297","SERPINE2",0.802
"298","BABAM2",0.801
"299","FAM107A",0.8
"300","PTGIS",0.799
"301","INHBA",0.797
"302","PPP1R14A",0.796
"303","ARL5B",0.795
"304","RIN2",0.795
"305","TCEAL7",0.792
"306","AGTR1",0.79
"307","MIS18BP1",0.787
"308","IFT81",0.781
"309","TACSTD2",0.781
"310","AC020916.1",0.778
"311","NRP2",0.778
"312","HOXA5",0.776
"313","AOC3",0.775
"314","SEMA3C",0.774
"315","SEPT7P2",0.774
"316","LBH",0.773
"317","MAP2",0.772
"318","SPRY1",0.768
"319","CYP7B1",0.766
"320","GFPT2",0.766
"321","S100A4",0.765
"322","AC005363.1",0.763
"323","DCLK1",0.76
"324","LETM1",0.758
"325","RASSF9",0.758
"326","LRRN3",0.756
"327","COL21A1",0.751
"328","GRAMD2B",0.751
"329","SOCS3",0.749
"330","AC004520.1",0.748
"331","CTSK",0.747
"332","FMO2",0.744
"333","ITGBL1",0.743
"334","ADAMTS8",0.739
"335","RAPH1",0.737
"336","INTS6",0.735
"337","ACP5",0.734
"338","SYTL2",0.73
"339","VMP1",0.729
"340","WNT2",0.729
"341","ARHGDIB",0.728
"342","GTDC1",0.728
"343","FAM107B",0.727
"344","RAB33B",0.727
"345","TOB1",0.725
"346","VCAM1",0.72
"347","DIRAS3",0.718
"348","ING1",0.714
"349","PAK3",0.714
"350","RETREG1",0.713
"351","FGFR4",0.708
"352","GPM6B",0.708
"353","NPNT",0.708
"354","ABCA10",0.707
"355","ATF5",0.707
"356","NEAT1",0.706
"357","SCN7A",0.706
"358","ANKRD44",0.705
"359","TAF9",0.7
"360","NUAK1",0.697
"361","CHP1",0.694
"362","KRT19",0.689
"363","KIAA0040",0.687
"364","PDGFD",0.686
"365","ETS2",0.684
"366","PCDH9",0.684
"367","NES",0.683
"368","P2RY1",0.68
"369","KLF5",0.679
"370","GPC3",0.677
