"","GENE","FREQUENCY"
"292","STC1",1
"293","STMN1",1
"294","SUGCT",1
"295","SYT8",1
"296","TAGLN",1
"297","TENM2",1
"298","TFPI2",1
"299","TGFBI",1
"300","TGFBR2",1
"301","TGM1",1
"302","TGM2",1
"303","THBS1",1
"304","TIMP1",1
"305","TIMP3",1
"306","TM4SF1",1
"307","TMEM120B",1
"308","TMEM171",1
"309","TMEM40",1
"310","TMPRSS4",1
"311","TNC",1
"312","TNFAIP2",1
"313","TNFAIP6",1
"314","TNNT1",1
"315","TNS4",1
"316","TPM1",1
"317","TPM2",1
"318","TSC22D1",1
"319","TUBA1A",1
"320","TUBA1B",1
"321","TUBA1C",1
"322","UCHL1",1
"323","UPP1",1
"324","VAMP5",1
"325","VCAN",1
"326","WFDC2",1
"327","WNT4",1
"328","WNT7B",1
"329","WTAP",1
"330","XYLT2",1
"331","ZBED2",1
"332","ZFP36",1
"333","ZFP36L2",1
"334","AHCYL2",0.999
"335","DUSP5",0.999
"336","FXYD3",0.999
"337","RAMP1",0.999
"338","RRP12",0.999
"339","PPP1R15A",0.998
"340","RP13-463N16.6",0.998
"341","SLC15A2",0.998
"342","DCBLD2",0.997
"343","FXYD5",0.997
"344","HES4",0.997
"345","MYEOV",0.997
"346","NCCRP1",0.997
"347","RAB11FIP1",0.997
"348","RIN2",0.997
"349","SERPINA1",0.997
"350","SGK494",0.997
"351","TAGLN3",0.997
"352","NOTCH3",0.996
"353","PRDM8",0.996
"354","RASSF6",0.996
"355","ALPL",0.995
"356","GALNT5",0.995
"357","MYC",0.995
"358","SCEL",0.995
"359","CCK",0.994
"360","FAM110C",0.994
"361","MALAT1",0.994
"362","PRSS22",0.994
"363","SDCBP2",0.994
"364","TFPI",0.994
"365","TMPRSS2",0.993
"366","AHR",0.99
"367","AKR1C3",0.99
"368","CLDN4",0.99
"369","COL8A1",0.99
"370","FAM107B",0.99
"371","RP11-384O8.1",0.99
"372","S100A12",0.99
"373","SERPINB13",0.99
"374","SERPINE1",0.99
"375","HEG1",0.989
"376","GLIPR1",0.988
"377","KBTBD6",0.988
"378","LIPH",0.988
"379","SCGB1A1",0.988
"380","CLDN1",0.987
"381","HIST2H2BE",0.987
"382","TRIB3",0.987
"383","CDC25B",0.986
"384","KRT15",0.986
"385","NEDD9",0.986
"386","INA",0.983
"387","LYSMD1",0.983
"388","NQO1",0.983
