"","GENE","FREQUENCY"
"293","ZNF146",1
"294","ZNF639",1
"295","CDH13",0.999
"296","ELK4",0.999
"297","EXPH5",0.999
"298","HIST1H2BG",0.999
"299","KIAA1217",0.999
"300","MSMO1",0.999
"301","RNF146",0.999
"302","ST5",0.999
"303","CNOT9",0.998
"304","COL4A5",0.998
"305","PANK3",0.998
"306","SLC25A32",0.998
"307","TSPAN8",0.998
"308","ZBTB20",0.998
"309","ADNP",0.997
"310","ATL2",0.997
"311","CFLAR",0.997
"312","FGD5-AS1",0.997
"313","SHISA2",0.997
"314","PNKD",0.996
"315","LETM1",0.995
"316","SERPINF1",0.995
"317","SIPA1L1",0.995
"318","SMC5",0.995
"319","MARF1",0.994
"320","PTPN14",0.994
"321","SOX9",0.994
"322","TOMM70",0.994
"323","FAM3C",0.993
"324","KRT4",0.993
"325","NUDT19",0.993
"326","TUBA1A",0.993
"327","FUBP3",0.992
"328","RNF144B",0.992
"329","TRA2A",0.992
"330","ZDHHC2",0.992
"331","PPIF",0.991
"332","PRSS3",0.991
"333","S100P",0.991
"334","SELENOH",0.991
"335","TMED7",0.991
"336","PAFAH1B3",0.99
"337","EDN2",0.989
"338","MTAP",0.989
"339","ATL3",0.988
"340","BNIP2",0.988
"341","CHPT1",0.988
"342","DDB1",0.988
"343","EIF2AK1",0.988
"344","GAPDHP40",0.988
"345","ILVBL",0.988
"346","LLPH",0.988
"347","MSN",0.988
"348","PARL",0.988
"349","PIN4",0.988
"350","PPIC",0.988
"351","RBM47",0.988
"352","RPL35P5",0.988
"353","RPS20P10",0.988
"354","RPS28P7",0.988
"355","RPS3AP26",0.988
"356","SDF2L1",0.988
"357","SEC62",0.988
"358","TRIB1",0.988
"359","YDJC",0.988
"360","PLD3",0.987
"361","TRIM38",0.987
"362","AC093484.5",0.986
"363","AC125807.1",0.986
"364","AHR",0.986
"365","ANKRD9",0.986
"366","BLOC1S1",0.986
"367","CDKN2B",0.986
"368","CSNK1A1",0.986
"369","G6PD",0.986
"370","HINT1P1",0.986
"371","HMGN3",0.986
"372","ITPKC",0.986
"373","MKKS",0.986
"374","MRPL43",0.986
"375","MRPS18B",0.986
"376","NIP7",0.986
"377","NXT2",0.986
"378","PLAGL1",0.986
"379","PSME2P2",0.986
"380","RTN3",0.986
"381","SMIM5",0.986
"382","SNX1",0.986
"383","STEAP2",0.986
"384","STK40",0.986
"385","VPS25",0.986
"386","ZADH2",0.985
"387","CCT4",0.984
"388","FRMD8",0.983
"389","HLA-DRB1",0.983
"390","ARRDC3",0.982
"391","RBM19",0.98
"392","HINT3",0.979
"393","GTF2H1",0.978
"394","NOLC1",0.978
"395","RALGDS",0.978
"396","RANBP9",0.978
"397","MYO10",0.976
"398","ARGLU1",0.974
"399","STK17A",0.974
"400","DNAJB9",0.972
"401","FERMT2",0.972
"402","PALLD",0.972
"403","ALDH1A3",0.971
"404","BCL2L11",0.97
"405","DDX50",0.97
"406","KAT7",0.97
"407","LIPH",0.97
"408","PKP4",0.97
"409","ANXA10",0.969
"410","DAAM1",0.967
"411","NTF3",0.967
"412","NUP50",0.964
"413","OVOL1",0.964
"414","PGM2L1",0.963
"415","COPB2",0.962
"416","CXCL17",0.962
"417","PTCD3",0.962
"418","SNX13",0.961
"419","BANP",0.959
"420","BLOC1S4",0.959
"421","CPA6",0.959
"422","PCGF3",0.958
"423","SYMPK",0.958
"424","LXN",0.957
"425","ZFYVE27",0.956
"426","DPF2",0.955
"427","MCTS1",0.954
"428","EIF2D",0.953
"429","IL20RA",0.952
"430","NT5C",0.951
"431","GIGYF1",0.949
"432","RASGRP3",0.949
"433","SMU1",0.948
"434","SRD5A3",0.947
"435","MPP5",0.944
"436","RPAIN",0.943
"437","RAD21",0.942
"438","WDR41",0.94
"439","MEIS2",0.939
"440","SOD2",0.939
"441","DDX19B",0.938
"442","NEDD4L",0.937
"443","TTC39C",0.937
"444","SUSD6",0.936
"445","AAED1",0.935
"446","GABPB1-AS1",0.935
"447","LUZP1",0.935
"448","PTTG1",0.935
"449","SNHG15",0.935
"450","SGPL1",0.931
"451","HOOK3",0.926
"452","ABCC5",0.925
"453","APOBEC3C",0.925
"454","CWC15",0.924
"455","FAM83H",0.924
"456","GLUD1",0.924
"457","TRIO",0.924
"458","FNIP1",0.922
"459","GSKIP",0.922
"460","KLF10",0.922
"461","SCAF4",0.921
