"","GENE","FREQUENCY"
"257","TNRC6B",0.698
"258","GOLIM4",0.696
"259","PTTG1",0.696
"260","NAMPT",0.695
"261","TPM1",0.693
"262","RREB1",0.692
"263","DDX3Y",0.691
"264","FAM46A",0.69
"265","LDHA",0.69
"266","RASGEF1B",0.69
"267","NCOA3",0.689
"268","AMD1",0.688
"269","ETS2",0.687
"270","RASGRP3",0.681
"271","MYL9",0.68
"272","CRLF3",0.679
"273","CSRP1",0.677
"274","MDM2",0.677
"275","ALDH3A2",0.675
"276","FOSL1",0.675
"277","CEBPD",0.673
"278","ITGB8",0.672
"279","FAM84A",0.663
"280","AKR1C3",0.66
"281","CDC42EP1",0.658
"282","SLC25A32",0.657
"283","SOD3",0.656
"284","C9orf3",0.655
"285","FHL2",0.653
"286","PELO",0.653
"287","FNIP1",0.652
"288","SERPINB1",0.652
"289","TCEA1",0.652
"290","KIAA1551",0.648
"291","MARS",0.647
"292","ITGAV",0.646
"293","CFAP97",0.645
"294","ELL2",0.645
"295","ELOVL5",0.645
"296","SERPINF1",0.645
"297","SNHG15",0.645
"298","SLC11A2",0.643
"299","CPE",0.641
"300","SOX9",0.635
"301","ALDH1A3",0.633
"302","DDIT3",0.633
"303","ITGB6",0.631
"304","PTPN14",0.63
"305","PLAGL1",0.629
"306","KRCC1",0.628
"307","TBX3",0.627
"308","XPO1",0.626
"309","MTO1",0.625
"310","REXO2",0.624
"311","TXNRD1",0.618
"312","COPRS",0.616
"313","WDR43",0.616
"314","MXI1",0.615
"315","ANXA10",0.614
"316","PXDC1",0.612
"317","RDH13",0.612
"318","AHR",0.609
"319","MSMO1",0.609
"320","RIT1",0.609
"321","NAA15",0.608
"322","PDE4D",0.608
"323","SOCS3",0.608
"324","TAF13",0.608
"325","SELENOH",0.607
"326","CPD",0.605
"327","BAG3",0.603
"328","FKBP11",0.602
"329","PITX1",0.602
"330","GPRC5A",0.598
"331","KLF4",0.598
"332","MTPAP",0.598
"333","DUSP2",0.597
"334","LYRM4",0.597
"335","TRIO",0.597
"336","CDCP1",0.596
"337","DUSP7",0.596
"338","LRPPRC",0.595
"339","DARS",0.589
"340","AUTS2",0.588
"341","SH3BP4",0.587
"342","PMEPA1",0.586
"343","RRP1",0.586
"344","NT5C3B",0.585
"345","CSAD",0.584
"346","SNHG12",0.584
"347","FTX",0.583
"348","GARS",0.583
"349","NDUFAF4",0.582
"350","MXD1",0.58
"351","ATP2B1",0.578
"352","TROVE2",0.578
"353","CFL2",0.577
"354","BAZ2A",0.571
"355","NT5C",0.571
"356","CCDC137",0.568
"357","IGFBP4",0.568
"358","NDUFA3",0.566
"359","BAZ2B",0.565
"360","SCO1",0.565
"361","TFPI",0.565
"362","RPL37AP8",0.563
"363","MOCS2",0.56
"364","ATP1B3",0.559
"365","SENP2",0.559
"366","SEMA5A",0.557
"367","EP300",0.556
"368","DUSP5",0.555
"369","FTL",0.555
"370","OSBPL9",0.555
"371","PFKP",0.555
"372","ATP11B",0.554
"373","NUDT19",0.554
"374","ANKRD36C",0.553
"375","NET1",0.551
"376","KRT4",0.55
"377","SREK1",0.55
"378","SUCO",0.55
"379","CDC37L1",0.548
"380","CUL3",0.548
"381","SLC14A1",0.547
"382","VCL",0.547
"383","CBX1",0.546
"384","LINC01133",0.546
"385","RLF",0.546
"386","PAN3",0.545
"387","SLC25A28",0.545
"388","ZNF587",0.545
"389","NUP98",0.544
"390","FEM1B",0.543
"391","CYP3A5",0.542
"392","RPS5P2",0.541
"393","MAPK6",0.539
"394","ITPA",0.536
"395","AGR3",0.535
"396","CTTN",0.534
"397","EMC4",0.534
"398","RHOBTB3",0.534
"399","SLC25A37",0.533
"400","AQP3",0.532
"401","DMAC2",0.529
"402","MAFF",0.529
"403","MORF4L1P1",0.529
"404","CTNNAL1",0.528
"405","STMN1",0.528
"406","CREM",0.527
"407","FAM3C",0.527
"408","THSD4",0.527
"409","RBP1",0.523
"410","PTGES2",0.522
"411","RPL35P5",0.522
"412","SRSF3",0.522
"413","LINC01578",0.521
"414","SPHK1",0.52
"415","NEDD9",0.519
"416","ARFGEF2",0.518
"417","FGGY",0.518
"418","HLA-DRB1",0.518
"419","RNF39",0.518
"420","CLK1",0.517
"421","HIST1H2BG",0.517
"422","LIMCH1",0.517
"423","RETREG1",0.517
"424","RUNX1",0.517
"425","OSBPL10",0.514
"426","ZG16B",0.514
"427","BICDL2",0.513
"428","PPP1R10",0.513
"429","TOMM70",0.512
"430","CLIP4",0.511
"431","PNRC1",0.511
"432","IFI27",0.509
"433","MRPS5",0.509
"434","TACC1",0.509
"435","FTH1P20",0.508
"436","MACF1",0.508
"437","AFTPH",0.506
"438","HCAR2",0.506
"439","MECR",0.506
"440","CORO1C",0.504
"441","NDRG1",0.504
"442","XRN1",0.504
"443","ERN1",0.503
"444","TIMP3",0.503
"445","VEZF1",0.503
"446","ZMYND11",0.503
"447","MAP4K4",0.502
"448","PDCD5",0.502
"449","CLNS1A",0.501
"450","H1FX",0.501
"451","RPSAP58",0.501
"452","DYNC1I2",0.5
"453","AK6",0.498
"454","BTG2",0.498
"455","FABP5",0.498
"456","KIF13A",0.498
"457","RPL5P1",0.498
"458","RNF146",0.497
"459","ATG4B",0.496
"460","ATP13A3",0.496
"461","ATXN1",0.496
"462","GAPVD1",0.495
"463","NUDT14",0.493
"464","NCBP3",0.492
"465","SUPT16H",0.492
"466","TECR",0.492
"467","WWTR1",0.492
"468","C1orf35",0.491
"469","MAP2K1",0.49
"470","AC023157.3",0.489
"471","CHP1",0.489
"472","STX12",0.488
"473","TMEM30A",0.488
"474","FNDC3A",0.487
"475","MEAF6",0.487
"476","TSPAN8",0.487
"477","AMPD3",0.486
"478","MTHFD1L",0.486
"479","SGMS2",0.486
"480","RABGAP1",0.485
"481","CISD1",0.484
"482","ELOF1",0.484
"483","GOSR2",0.484
"484","ATXN7",0.483
"485","MAP4K5",0.482
"486","RABGGTB",0.482
"487","TRIM38",0.482
"488","CACUL1",0.481
"489","TWISTNB",0.481
"490","COX17",0.48
"491","GSTO1",0.48
"492","SERPINB5",0.48
"493","RHOB",0.479
"494","SP3",0.479
"495","WDR46",0.479
"496","ELOA",0.478
"497","CBFB",0.476
"498","PDE8A",0.476
"499","SAMD4B",0.476
"500","VPS25",0.475
"501","ADNP",0.474
"502","GMCL1",0.473
"503","MYH9",0.473
"504","ZNF652",0.473
"505","DKC1",0.471
"506","FBXL3",0.471
"507","IFNGR1",0.471
"508","SYS1",0.471
"509","FAM89A",0.47
"510","DPM2",0.469
"511","TMEM263",0.469
"512","BCL7A",0.468
"513","DENR",0.468
"514","RPRD1B",0.468
"515","SMNDC1",0.468
"516","CALU",0.467
"517","LAMP2",0.467
"518","ANKRD12",0.466
"519","BNIP3L",0.466
"520","IL13RA1",0.466
"521","NUCKS1",0.466
"522","OAS1",0.466
"523","RRS1",0.466
"524","HMGCS1",0.465
"525","NFRKB",0.465
"526","TNC",0.465
"527","EIF4EBP2",0.464
"528","KATNBL1",0.464
"529","SEPT10",0.464
"530","BHLHE41",0.463
"531","GLUD1",0.463
"532","SLCO3A1",0.463
"533","TBPL1",0.462
"534","VASP",0.462
"535","YWHAH",0.462
"536","ALS2CL",0.461
"537","ATRAID",0.461
"538","FZR1",0.461
"539","MISP",0.461
"540","PISD",0.461
"541","R3HDM4",0.461
"542","RAB11B",0.461
"543","RALGDS",0.461
"544","SAFB",0.461
"545","PIM3",0.46
"546","SEMA3B",0.46
"547","ADAM9",0.459
"548","CD24",0.459
"549","ANKRA2",0.457
"550","KRT8",0.457
"551","BTBD7",0.456
"552","PDCD4",0.456
"553","PRKD3",0.456
"554","PPA2",0.455
"555","GRSF1",0.454
"556","LAMA3",0.454
"557","MTHFD2",0.454
"558","RPS3AP49",0.454
"559","SCPEP1",0.454
"560","WDR45B",0.454
"561","PPP1R1B",0.453
"562","SRP68",0.453
"563","FGFR2",0.452
"564","NFX1",0.452
"565","YDJC",0.452
"566","CRYAB",0.451
"567","LUZP1",0.451
"568","NSMF",0.45
"569","DDAH2",0.449
"570","TPM4",0.449
"571","ATP6V1H",0.448
"572","BRD4",0.448
"573","CCNL2",0.447
"574","SLC38A2",0.447
"575","FAM57A",0.446
"576","GPATCH4",0.446
"577","HNRNPU",0.446
"578","DEF8",0.445
"579","SDAD1",0.445
"580","CPSF7",0.444
"581","DDX42",0.444
"582","EWSR1",0.444
"583","NEK7",0.444
"584","NOB1",0.444
"585","SRSF6",0.444
"586","ZFHX3",0.444
"587","C6orf62",0.443
"588","BAG5",0.441
"589","PLEKHF1",0.441
"590","SMC3",0.439
"591","SON",0.439
"592","ZCRB1",0.439
"593","CAV2",0.438
"594","CHCHD5",0.437
"595","GPM6B",0.437
"596","MTAP",0.437
"597","CCNH",0.436
"598","GNL2",0.435
"599","NDUFA5",0.435
"600","TUBA1A",0.435
"601","ZNF516",0.434
"602","ARIH1",0.433
"603","CCT7",0.433
"604","KCNMA1",0.433
"605","MT-ND4L",0.432
"606","TRIM47",0.43
"607","VPS37B",0.43
"608","MYO1B",0.429
"609","TSEN34",0.429
"610","NDUFS1",0.428
"611","AAED1",0.427
"612","COX6A1P2",0.427
"613","DDX6",0.427
"614","NABP1",0.427
"615","FAM120AOS",0.426
"616","KLF9",0.426
"617","LMO4",0.425
"618","PSMA3",0.425
"619","TMTC3",0.425
"620","HIST1H2BD",0.424
"621","RAB11FIP1",0.424
"622","EYA3",0.423
"623","LARP4",0.423
"624","ILK",0.421
"625","NUP153",0.421
"626","PDE7A",0.421
"627","INTS6",0.42
"628","KIAA1217",0.42
"629","PPIH",0.42
"630","RPL21P16",0.42
"631","TSC22D2",0.42
"632","PTEN",0.419
"633","SPTSSB",0.419
"634","CDK16",0.418
"635","RCL1",0.417
"636","H1F0",0.416
"637","TFF3",0.416
"638","BOD1L1",0.415
"639","CREB1",0.415
"640","DUS1L",0.415
"641","IL6ST",0.415
"642","ISCA1",0.415
"643","MIR22HG",0.415
"644","PARL",0.415
"645","PTGES",0.415
"646","PUS7",0.415
"647","ACTB",0.414
"648","EIF4EBP1",0.414
