"","GENE","FREQUENCY"
"258","NUDT19",0.784
"259","RB1CC1",0.784
"260","ANP32A",0.782
"261","NOP58",0.782
"262","STAG2",0.781
"263","EPHB3",0.78
"264","RIN2",0.779
"265","SRP72",0.779
"266","ARFGEF2",0.777
"267","CSTF1",0.777
"268","TSTD1",0.777
"269","AMFR",0.776
"270","HERPUD1",0.776
"271","MAGOHB",0.776
"272","PATJ",0.776
"273","RP9P",0.776
"274","CENPX",0.775
"275","EFNA1",0.774
"276","GIPC1",0.774
"277","C8orf33",0.772
"278","SMU1",0.772
"279","AGPAT5",0.77
"280","SNRPA1",0.77
"281","TOX4",0.77
"282","CENPW",0.769
"283","RSRC1",0.769
"284","MIER1",0.767
"285","MFN1",0.766
"286","CASC4",0.765
"287","GTF3C6",0.765
"288","JUND",0.764
"289","RPS10",0.764
"290","VMP1",0.761
"291","KIAA0907",0.76
"292","SENP5",0.759
"293","THBS1",0.759
"294","RAB1A",0.757
"295","SWI5",0.757
"296","THOC7",0.756
"297","FABP3",0.754
"298","NT5DC3",0.754
"299","FBLN2",0.752
"300","TIMP3",0.752
"301","MLEC",0.751
"302","CLDN3",0.75
"303","MGST1",0.75
"304","NIT2",0.75
"305","SPRYD7",0.75
"306","AK3",0.749
"307","SNRPD2",0.749
"308","TBX3",0.749
"309","RABGAP1",0.748
"310","SEL1L",0.748
"311","FNDC3B",0.747
"312","PSMD1",0.747
"313","SLK",0.746
"314","MYC",0.744
"315","TUBB2A",0.744
"316","ACTR6",0.743
"317","ERP29",0.743
"318","OSGIN2",0.743
"319","GPATCH4",0.742
"320","CDC40",0.738
"321","FAM168B",0.737
"322","ZC3H15",0.737
"323","CCSER2",0.735
"324","GTF2F1",0.735
"325","RPS2P55",0.735
"326","STX5",0.735
"327","TULP4",0.735
"328","SREK1IP1",0.733
"329","ARHGAP21",0.731
"330","GTF3C5",0.73
"331","PEA15",0.729
"332","ARPC5",0.727
"333","DDIT3",0.727
"334","DNMT1",0.727
"335","SIKE1",0.727
"336","CDC42SE1",0.726
"337","PTGES3",0.725
"338","TMF1",0.725
"339","LGALSL",0.724
"340","PRKAR2B",0.724
"341","AC022150.4",0.723
"342","EIF6",0.723
"343","HTATSF1",0.723
"344","MRPL43",0.723
"345","AC097523.1",0.722
"346","MRPL33",0.722
"347","C6orf15",0.721
"348","DHRS3",0.721
"349","SERTAD4-AS1",0.719
"350","PDCD10",0.718
"351","S1PR2",0.717
"352","PIP4K2A",0.716
"353","RCAN1",0.716
"354","ZNF83",0.714
"355","AARD",0.713
"356","RTL8A",0.712
"357","C3orf14",0.71
"358","HOOK2",0.707
"359","TALDO1",0.706
"360","RFC1",0.705
"361","ZNF330",0.705
"362","TBL1XR1",0.702
"363","PDHB",0.701
"364","COASY",0.7
"365","FAM162A",0.7
"366","RBM39",0.7
"367","BROX",0.699
"368","C1orf174",0.698
"369","ZFX",0.698
"370","DNMT3A",0.697
"371","NT5C",0.697
"372","PSMG3",0.697
"373","HSPA1B",0.696
"374","EIF2S1",0.695
"375","NOB1",0.695
"376","PRELID3B",0.695
"377","NDUFV3",0.694
"378","CALM1",0.693
"379","AC027031.2",0.692
"380","XPA",0.692
"381","AP3D1",0.691
"382","NINJ2",0.691
"383","RPL24P4",0.69
"384","AC104563.1",0.689
"385","FAM50A",0.688
"386","SNRPF",0.688
"387","RPS27L",0.687
"388","IGFL2-AS1",0.685
"389","CT83",0.684
"390","AC078817.1",0.683
"391","AC074033.1",0.682
"392","RAP2C",0.682
"393","ZBTB8OS",0.682
"394","APOOL",0.681
"395","EPPK1",0.681
"396","PIM2",0.681
"397","RTFDC1",0.681
"398","AC034236.1",0.68
"399","C6orf141",0.678
"400","GPX7",0.678
"401","SEPT7",0.677
"402","SLC30A7",0.677
"403","CMC2",0.675
"404","HIST1H2AC",0.675
"405","CBWD1",0.673
"406","MAD1L1",0.673
"407","PHGDH",0.673
"408","PHLDA2",0.672
"409","WEE1",0.671
"410","ZNF121",0.67
"411","ACAP2",0.669
"412","ACYP2",0.668
"413","THUMPD3",0.668
"414","SNX17",0.666
"415","FAM76A",0.665
"416","GPAA1",0.665
"417","KLK10",0.665
"418","PAPSS1",0.665
"419","SMARCA5",0.665
"420","STRN3",0.665
"421","FMR1",0.664
"422","TSC22D1",0.664
"423","DECR1",0.663
"424","LMO4",0.662
"425","TBPL1",0.662
"426","AC092171.5",0.661
"427","MIR22HG",0.66
"428","CCT7",0.659
"429","CINP",0.659
"430","SAA2",0.658
"431","SLC39A1",0.658
"432","NABP1",0.657
"433","SMARCA2",0.656
"434","KLF6",0.655
"435","CAVIN1",0.654
"436","RPL41P2",0.654
"437","ARGLU1",0.653
"438","DICER1-AS1",0.653
"439","AK2",0.652
"440","SON",0.652
"441","COPG1",0.651
"442","LUC7L3",0.651
"443","THRAP3",0.647
"444","CCDC58",0.646
"445","SARAF",0.646
"446","IK",0.645
"447","RPL7P32",0.645
"448","RPP38",0.645
"449","LAGE3",0.643
"450","FBXO22",0.641
"451","KRT15",0.641
"452","PPIL3",0.641
"453","SPIN1",0.641
"454","SERBP1",0.64
"455","ZNF12",0.64
"456","KMT5A",0.639
"457","FYTTD1",0.638
"458","IFI27",0.638
"459","EML4",0.637
"460","NDUFB4P12",0.637
"461","B9D1",0.636
"462","SRSF2",0.636
"463","ACBD6",0.635
"464","HKR1",0.635
"465","PMS2P1",0.635
"466","GRAMD1A",0.634
"467","MCTS1",0.634
"468","NMB",0.634
"469","RNASEK",0.634
"470","BLOC1S3",0.633
"471","AC103706.1",0.631
"472","CLIC3",0.629
"473","HERPUD2",0.629
"474","AL035071.1",0.628
"475","TCEAL9",0.628
"476","IFT43",0.627
"477","MIR100HG",0.627
"478","BCAS2",0.626
"479","MITD1",0.625
"480","PMF1",0.625
"481","SNRPGP10",0.625
"482","SRSF3",0.625
"483","AC073896.2",0.624
"484","CTBP1",0.624
"485","GNL3",0.623
"486","CLINT1",0.622
"487","TERF2IP",0.622
"488","ZNF358",0.621
"489","ZNF562",0.62
"490","MAFB",0.619
"491","ZNF780B",0.619
"492","EIF5AL1",0.618
"493","TNPO1",0.618
"494","NDUFA1",0.617
"495","CCT2",0.616
"496","POLDIP2",0.616
"497","CALM3",0.615
"498","EIF1AD",0.615
"499","GMPPA",0.614
"500","RRP15",0.614
"501","ZDHHC16",0.614
"502","CALR",0.613
"503","NUCKS1",0.613
"504","ORC2",0.613
"505","CD59",0.612
"506","CNPY2",0.612
"507","FGFBP2",0.61
"508","MED19",0.61
"509","MRPL9",0.61
"510","FAM229B",0.609
"511","MXD4",0.609
"512","SDF2L1",0.609
"513","TMEM263",0.609
"514","GABPB1-AS1",0.608
"515","IP6K2",0.608
"516","YAF2",0.608
"517","C19orf48",0.607
"518","PPP1R35",0.607
"519","ZNF622",0.607
"520","CCDC186",0.606
"521","DIS3",0.606
"522","SERPINE2",0.605
"523","DYNC1LI1",0.604
"524","MYLK",0.604
"525","PLIN2",0.604
"526","PSD4",0.604
"527","HSP90AB1",0.603
"528","RBL1",0.603
"529","TJP2",0.603
"530","ZNHIT1",0.603
"531","ODC1",0.601
"532","SOD2",0.6
"533","TRPS1",0.6
"534","VGLL1",0.599
"535","ALKBH2",0.598
"536","BZW1",0.598
"537","OXR1",0.598
"538","RBM4",0.598
"539","SLC25A39",0.598
"540","TSC22D3",0.598
"541","RPL21P28",0.597
"542","TCTEX1D2",0.597
"543","MMADHC",0.596
"544","SF1",0.596
"545","SKA2",0.596
"546","SNX3",0.595
"547","CKB",0.594
"548","HLA-B",0.594
"549","PKP1",0.594
"550","SH3BGRL3",0.594
"551","TIGAR",0.594
"552","PAF1",0.593
"553","HSPB11",0.592
"554","NORAD",0.592
"555","CCNL2",0.591
"556","AC107075.1",0.59
"557","CXADR",0.587
"558","AL121832.2",0.586
"559","ZNF738",0.586
"560","YAE1D1",0.585
"561","FAM110A",0.584
"562","PAICS",0.584
"563","DDX24",0.583
"564","GLRX",0.583
"565","METTL9",0.583
"566","GSPT1",0.582
"567","CALD1",0.581
"568","CRYAB",0.581
"569","DHX15",0.581
"570","RPL5P34",0.581
"571","RRNAD1",0.58
"572","EIF3D",0.579
"573","FAM32A",0.579
"574","ATMIN",0.578
"575","CCDC82",0.578
"576","S100B",0.578
"577","SEPT9",0.578
"578","AC004448.1",0.577
"579","AC097263.1",0.577
"580","TMA7",0.576
"581","NAB1",0.575
"582","TDG",0.575
"583","FARSA",0.574
"584","NDUFB1",0.574
"585","MRPL12",0.573
"586","CMSS1",0.572
"587","JPT1",0.572
"588","RPL34P18",0.572
"589","ANXA2",0.571
"590","AP003385.3",0.571
"591","ARMC6",0.571
"592","DNTTIP1",0.571
"593","PPP4R3B",0.571
"594","TP53RK",0.571
"595","CNIH1",0.57
"596","COMMD4",0.57
"597","ECH1",0.57
"598","HEBP1",0.57
"599","MRPS9",0.57
"600","CHCHD7",0.569
"601","CHMP1B",0.569
"602","TNFRSF12A",0.569
"603","ACAT1",0.568
"604","NEDD8",0.568
"605","PCBD1",0.568
"606","SSR3",0.568
"607","ZBED5-AS1",0.568
"608","GLS",0.566
"609","COX7B",0.564
"610","IGFBP3",0.564
"611","KIF1C",0.564
"612","LGALS7B",0.564
"613","TRIP12",0.564
"614","MRRF",0.563
"615","RPS5P2",0.562
"616","YAP1",0.562
"617","RHOA",0.561
"618","TFPT",0.561
"619","CCDC51",0.56
"620","MRPL16",0.56
"621","MTFR1",0.56
"622","NSRP1",0.56
"623","PFDN2",0.56
"624","AC245060.4",0.559
"625","GRSF1",0.559
"626","LINC00663",0.559
"627","AC103702.2",0.558
"628","ID2",0.558
"629","ILKAP",0.558
"630","MKRN1",0.557
"631","SEM1",0.557
"632","SNRPD3",0.557
"633","TPM4",0.557
"634","SLC7A5",0.556
"635","TMEM41B",0.555
"636","CCT6A",0.554
"637","IRF6",0.554
"638","RBM8A",0.554
"639","SEPT7P2",0.554
"640","CMTM8",0.553
"641","DDX6",0.553
"642","GTPBP4",0.553
"643","PNKD",0.553
"644","PSMG4",0.553
"645","BHLHE40",0.552
"646","DYNLL1",0.552
"647","CSNK2A2",0.551
"648","LRRC41",0.551
"649","NCL",0.551
"650","RPL32P3",0.551
"651","EEF1A1P5",0.55
"652","NIPSNAP2",0.55
"653","DCTN6",0.549
"654","MRPS10",0.549
"655","PIN1",0.549
"656","TGS1",0.549
"657","BRI3",0.548
"658","PSMC2",0.548
"659","TIAL1",0.548
"660","GPNMB",0.547
"661","RDH10",0.547
"662","RPL15P3",0.547
"663","BRWD1",0.546
"664","CYSTM1",0.546
"665","MRPS5",0.546
"666","PRPF4B",0.545
"667","QPCT",0.545
"668","TRAPPC2",0.544
"669","ZCCHC7",0.544
"670","ABL2",0.543
"671","EMC9",0.543
"672","GPR12",0.543
"673","LSM7",0.543
"674","SUGT1",0.543
"675","COTL1",0.542
"676","TRIP10",0.54
"677","EMC2",0.539
"678","IFI27L1",0.539
"679","PCYT1A",0.539
"680","SMAP1",0.539
"681","COPB1",0.538
"682","STX4",0.538
"683","CH17-340M24.3",0.536
"684","MFF",0.535
"685","RSBN1L",0.534
"686","SRPRA",0.534
"687","NT5C3A",0.533
"688","NUTM2A-AS1",0.533
"689","SCARB2",0.533
"690","SNHG17",0.533
"691","TIMM50",0.533
"692","NF2",0.531
"693","DCTPP1",0.53
"694","FUBP1",0.53
"695","OSER1",0.53
"696","PRPS2",0.53
"697","AL121944.1",0.529
"698","MPP6",0.529
"699","ACOX1",0.528
"700","RSL1D1",0.528
"701","SNHG19",0.528
"702","ATPAF1",0.527
"703","ZC3H13",0.527
"704","AP3S1",0.526
"705","CHORDC1",0.526
"706","MFGE8",0.526
"707","REEP3",0.526
"708","PLXNA3",0.525
"709","BLVRB",0.524
"710","LSM5",0.523
"711","PIGX",0.523
"712","SPTAN1",0.523
"713","EIF3B",0.522
"714","EPB41L4A-AS1",0.521
"715","STARD7",0.521
"716","CARMIL1",0.52
"717","RBBP5",0.52
"718","SBNO1",0.52
"719","SLC25A37",0.52
"720","RNU6-946P",0.518
"721","AAED1",0.517
"722","IGFBP7",0.517
"723","LDHA",0.517
"724","NCK2",0.517
"725","CAT",0.516
"726","GRINA",0.516
"727","KDM5A",0.516
"728","MAP3K13",0.516
"729","PSENEN",0.516
"730","PCNP",0.514
"731","ANXA11",0.513
