"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","BP","GO:0030198","extracellular matrix organization","101/2350","334/17913",1.20886603464021e-16,7.05494217816025e-13,5.80128447571022e-13,"9507/2683/633/151887/1303/1277/1293/1545/3036/3037/3791/8076/5054/6423/7057/7076/1462/2200/3696/7373/1295/3673/11096/90102/1311/2335/8516/4629/50509/64094/4060/1513/7412/2264/2824/255743/23768/5154/3912/1278/10653/1282/3371/5345/3672/2199/10630/10266/2006/3910/56999/2296/6678/1605/4982/79875/7046/4239/6624/183/6662/323/4148/1287/4016/23213/55790/1284/11117/2191/30001/1305/3685/1289/2113/7837/4643/10585/81621/1999/133584/9719/9508/50848/1514/58494/23122/4763/3915/2247/90993/3909/55612/2295/3693/3913/5654/9509/4015/1634/4327",101
"GO:0062023","CC","GO:0062023","collagen-containing extracellular matrix","111/2418","399/18678",1.10086179980236e-15,7.40879991266989e-13,6.24594221151024e-13,"9510/9507/54829/633/151887/8483/1191/1303/1277/1293/1805/2152/4053/8076/4653/6281/5054/6423/8406/7057/7076/1462/2200/7058/7373/1295/11096/2254/1311/2335/115908/6422/1012/50509/64094/4060/5270/6275/81578/11095/7472/255743/2719/2662/3912/1278/1282/5764/3371/5345/2199/2006/10085/3910/56999/3490/6678/5176/1605/79875/80760/7052/4239/131873/2239/183/1306/1287/4016/4958/23213/4969/1284/11117/84034/4147/1305/2817/1289/7837/5265/8510/256076/5271/81621/7482/811/127435/12/8573/133584/9508/7078/1514/3915/7869/1955/170689/3909/2202/25878/1842/3913/59277/83872/5654/27286/9509/1634/2255/7059",111
"GO:0043062","BP","GO:0043062","extracellular structure organization","111/2350","387/17913",2.56370783796946e-16,7.4808994711949e-13,6.15154949121199e-13,"19/9507/2683/633/151887/1303/1277/1293/1545/3036/3037/3791/8076/5320/6385/5054/6423/7057/7076/1462/2200/3696/7373/947/1295/3673/11096/90102/1311/2335/8516/4629/50509/64094/4060/185/1513/7412/2264/2824/255743/23768/5154/3912/1278/10653/1282/3371/5345/3672/2199/4023/10630/10266/2006/3910/341/56999/2296/6678/1605/4982/79875/7046/4239/6624/183/6662/323/4148/1287/4016/23213/55790/1284/11117/2191/30001/1305/3685/1289/2113/7837/4643/10585/81621/1999/133584/9719/9508/50848/1514/58494/23122/4763/3915/2247/90993/3909/5567/55612/5360/2295/3693/3913/5654/9509/4015/23461/1634/4327",111
"GO:0031012","CC","GO:0031012","extracellular matrix","120/2418","468/18678",4.96394083017221e-14,1.67036608935295e-11,1.40819163550675e-11,"9510/9507/54829/633/151887/8483/1191/1303/1277/1293/1805/2152/4053/8076/4653/6281/5054/6423/8406/7057/7076/1462/57124/2200/7058/7373/1295/11096/2254/1311/2335/115908/6422/1012/50509/64094/4060/5270/6275/81578/11095/7472/255743/2719/23768/2662/3912/1278/1282/5764/3371/5345/2199/2006/10085/3910/7980/56999/3490/6678/5176/1605/4982/79875/80760/7052/4239/131873/23767/2239/183/1306/1287/4016/4958/23213/4969/1284/11117/84034/147372/4147/1305/2817/1289/7837/5265/8510/256076/5271/81621/7482/811/127435/12/8573/133584/9719/9508/7078/1514/3915/7869/1955/170689/3909/2202/25878/1842/3913/59277/83872/5654/27286/9509/4015/1634/4327/2255/7059",120
"GO:0005201","MF","GO:0005201","extracellular matrix structural constituent","59/2360","158/16969",1.43275418358792e-13,1.36541473695929e-10,1.24725022087075e-10,"54829/633/8483/1303/1277/1293/1805/4053/8076/8406/7057/1462/2200/7058/7373/1295/1311/2335/115908/50509/4060/81578/255743/3912/1278/1282/3371/2199/2006/10085/3910/7980/3490/6678/79875/4239/131873/1306/4148/1287/4969/1284/11117/84034/4147/1305/1289/7837/256076/127435/3915/3909/2202/25878/3913/83872/27286/1634/7059",59
"GO:0001655","BP","GO:0001655","urogenital system development","88/2350","324/17913",8.88100591483538e-12,1.72765168396598e-08,1.42064933213104e-08,"9510/3037/3280/3398/3399/4609/116039/5228/157506/6385/6659/2200/947/130497/80184/25976/650/9104/9244/3400/8516/6422/59/4311/185/4070/10252/9420/255743/80310/2719/5154/445/1282/3371/64412/5125/8829/51196/2296/5176/3764/9788/6092/7046/1499/26508/183/4953/6662/50484/26146/23213/8879/2028/1958/168667/367/3570/1028/4089/760/84159/9353/56913/4643/29927/9688/5471/10409/7482/1027/5727/28999/10116/2288/4763/2247/6495/55746/5310/3913/79902/6599/10247/1634/84662/2255",88
"GO:0001822","BP","GO:0001822","kidney development","78/2350","276/17913",1.63374746502547e-11,2.38363755147216e-08,1.96006702448714e-08,"9510/3037/3280/3398/3399/4609/116039/5228/157506/6385/6659/2200/947/130497/80184/25976/650/9104/9244/8516/6422/59/4311/185/4070/10252/255743/80310/2719/5154/445/64412/5125/8829/51196/2296/5176/3764/9788/6092/7046/1499/26508/183/4953/6662/50484/26146/23213/8879/2028/1958/168667/3570/1028/4089/760/84159/9353/56913/4643/29927/5471/10409/7482/5727/28999/4763/2247/6495/55746/5310/3913/79902/10247/1634/84662/2255",78
"GO:0031589","BP","GO:0031589","cell-substrate adhesion","86/2350","322/17913",3.98270273230811e-11,3.9727104219068e-08,3.26676288977185e-08,"347/151887/1277/2042/3037/3397/3791/4653/6281/6385/5054/7057/51330/947/1295/3673/90102/2335/8516/6422/1012/50509/64094/23499/11170/4070/7412/2824/255743/5328/4739/22998/3912/5764/3987/3672/10630/10085/2316/8829/56999/6695/1605/54749/1499/4771/9448/6239/11117/25992/1305/3685/57091/123720/2017/10461/5295/88/8874/811/8573/133584/79834/2633/23122/1942/4763/3915/7414/683/29984/55612/87/81792/80005/5310/56672/6251/253725/81/9475/1842/3693/5921/8499/7059",86
"GO:0072001","BP","GO:0072001","renal system development","80/2350","291/17913",4.0843493028514e-11,3.9727104219068e-08,3.26676288977185e-08,"9510/3037/3280/3398/3399/4609/116039/5228/157506/6385/6659/2200/947/130497/80184/25976/650/9104/9244/8516/6422/59/4311/185/4070/10252/255743/80310/2719/5154/445/1282/64412/5125/8829/51196/2296/5176/3764/9788/6092/7046/1499/26508/183/4953/6662/50484/26146/23213/8879/2028/1958/168667/3570/1028/4089/760/84159/9353/56913/4643/29927/9688/5471/10409/7482/5727/28999/4763/2247/6495/55746/5310/3913/79902/10247/1634/84662/2255",80
"GO:0005912","CC","GO:0005912","adherens junction","113/2418","496/18678",7.55172628042476e-10,1.69410392890862e-07,1.42820367198209e-07,"9590/928/3315/6385/65267/5329/388/2697/171024/3673/1466/90102/23224/10544/8516/1012/4311/11170/11261/23768/5328/4739/4082/3371/3987/3672/2273/2768/2316/1465/79652/1601/4026/58480/8829/91624/81848/1605/390/27289/7052/1499/2274/2195/5500/23767/85440/29091/4771/120534/9260/4627/9448/8613/23022/3304/83604/2191/3303/3845/55827/4008/3309/3685/57091/9414/9351/6840/54751/23150/4643/117178/7082/6645/85458/2017/88/8874/2580/5339/1264/811/5754/10092/8573/55591/79834/22823/1265/81873/23122/7414/10458/858/57608/8936/55612/87/1656/6251/85456/54800/81/5797/3693/23114/8649/91179/64759/324/1213/7089/10525",113
