"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0071496","BP","GO:0071496","cellular response to external stimulus","57/1578","320/17913",2.11922373686215e-07,8.30101379377704e-06,6.28710629561037e-06,"664/1026/3162/3309/3659/3725/5366/53335/7494/440/834/968/355/7184/5292/3676/958/1647/2752/3383/5032/5788/8740/7351/360/467/2534/5164/83667/7071/81631/54468/6662/7378/80149/199/468/9994/84557/4214/4193/7248/476/835/1536/81929/207/490/9451/96459/3312/3428/4217/2475/9463/6872/27327",57
"GO:0002791","BP","GO:0002791","regulation of peptide secretion","77/1578","483/17913",2.14944603130857e-07,8.36250692450996e-06,6.33368058869943e-06,"101/6348/28984/291/8651/9447/6352/1236/933/55691/6659/7494/301/307/834/2268/1992/7128/4345/3479/3566/5530/640/958/965/2633/2752/3146/3586/23178/415116/5552/7124/7133/7351/10385/952/84868/3495/199713/29126/3783/80223/7293/7292/80149/18/199/2625/55540/7850/3709/57506/26191/192683/7096/8600/114769/23586/1946/2213/90007/29108/79651/7189/65985/773/972/7430/83786/2852/3033/3133/10859/5532/5978/81793",77
"GO:0043370","BP","GO:0043370","regulation of CD4-positive, alpha-beta T cell differentiation","17/1578","47/17913",2.2477583379258e-07,8.63753754828087e-06,6.5419860811553e-06,"942/3662/8651/84807/301/30009/9308/3566/941/3146/861/7292/80149/2625/64332/5914/864",17
"GO:2001235","BP","GO:2001235","positive regulation of apoptotic signaling pathway","38/1578","178/17913",2.26218440797504e-07,8.63753754828087e-06,6.5419860811553e-06,"664/1649/5366/8743/638/90427/1075/857/355/6498/27113/598/81618/3932/4118/8682/5788/467/10018/637/8742/11124/2934/10962/4690/5329/5533/835/4763/2923/29108/6477/1495/1540/2852/9026/5883/11035",38
"GO:0016064","BP","GO:0016064","immunoglobulin mediated immune response","37/1578","171/17913",2.27456349837069e-07,8.63753754828087e-06,6.5419860811553e-06,"3119/3514/28778/57379/10538/3500/3502/3503/28908/3539/30009/2208/3566/1235/10666/939/958/3586/4049/5788/7124/1604/975/1380/2956/7292/2207/4683/165918/23075/7037/2213/10039/972/3133/3635/3665",37
"GO:0006979","BP","GO:0006979","response to oxidative stress","72/1578","442/17913",2.28014190229019e-07,8.63753754828087e-06,6.5419860811553e-06,"664/3162/3315/3725/4257/10628/1236/824/4688/7128/100/1471/10365/6382/10550/8837/1545/3586/26034/23135/1728/1263/11168/7124/7351/952/2146/2534/653361/5164/83667/5660/23657/94241/80149/199/351/468/1499/1906/2882/3417/84557/4193/51734/4689/9124/23064/140885/7248/7296/1536/2309/2879/2185/388/207/1718/2113/2643/2730/4217/135112/5163/59338/87178/5978/11035/50484/6667/6772/10587",72
"GO:0008630","BP","GO:0008630","intrinsic apoptotic signaling pathway in response to DNA damage","25/1578","92/17913",2.30413512214814e-07,8.67137910675097e-06,6.56761734507034e-06,"1026/1396/54541/3162/6498/1032/598/960/7124/7133/10018/637/3090/57600/2956/23612/25946/835/29108/57646/972/204851/3428/3622/5883",25
"GO:0046637","BP","GO:0046637","regulation of alpha-beta T cell differentiation","20/1578","63/17913",2.34676925574824e-07,8.77447881467426e-06,6.64570405096716e-06,"942/3662/8651/84807/639/301/30009/100/9308/3566/941/3146/861/7292/80149/2625/4860/64332/5914/864",20
"GO:0070997","BP","GO:0070997","neuron death","60/1578","347/17913",2.96643853937387e-07,1.1019840715945e-05,8.34631909584104e-06,"101/664/7832/6348/1649/54541/3162/3309/3725/5641/5966/6352/824/1051/4605/4345/472/598/3586/1728/6653/7124/7133/10018/637/2534/8851/1435/4915/23657/351/429/468/1499/2625/2896/84678/7248/835/1522/1958/2213/2309/4763/2185/6477/207/997/1718/2730/3134/10525/3689/4217/2475/135112/23385/26012/5978/10617",60
"GO:0050856","BP","GO:0050856","regulation of T cell receptor signaling pathway","15/1578","38/17913",3.06983755454032e-07,1.13308491275918e-05,8.58187381137688e-06,"1236/100/10666/2633/3932/3958/10385/11314/975/3783/26191/634/1540/7430/11006",15
"GO:0019724","BP","GO:0019724","B cell mediated immunity","37/1578","173/17913",3.0963190912149e-07,1.13557995714748e-05,8.60077103245279e-06,"3119/3514/28778/57379/10538/3500/3502/3503/28908/3539/30009/2208/3566/1235/10666/939/958/3586/4049/5788/7124/1604/975/1380/2956/7292/2207/4683/165918/23075/7037/2213/10039/972/3133/3635/3665",37
"GO:0051090","BP","GO:0051090","regulation of DNA-binding transcription factor activity","70/1578","429/17913",3.13977851309398e-07,1.14423067584779e-05,8.66629072601489e-06,"101/1649/3162/3398/3399/3725/4791/4792/28984/10221/9447/84807/307/84159/857/5292/7128/7185/4345/5530/958/8837/1545/3055/3383/3586/4794/6446/7124/2146/84868/60485/340061/1029/8809/7293/7292/84851/80149/351/1499/4921/1906/11124/2316/57506/92140/8600/7188/114769/23586/2100/5195/29108/7189/207/8553/1540/2319/2672/3689/84166/57162/11035/9252/6872/7706/4591/11060/171392",70
"GO:0042326","BP","GO:0042326","negative regulation of phosphorylation","73/1578","455/17913",3.44899558521309e-07,1.24901362136207e-05,9.45990646113063e-06,"1026/1031/54541/4616/3315/3725/4609/64092/8651/10221/7453/11221/3087/27250/26228/857/753/7128/57761/1032/22876/1027/1846/1647/2633/5788/6653/54997/7345/467/10385/11314/54900/113791/10507/9021/11329/25937/1029/56937/80149/64853/652/805/5611/10614/4690/26191/5998/140885/10771/891/79705/90007/4763/5575/29108/399/64754/207/634/1399/1540/3301/7430/79893/2852/2475/4089/122809/55333/28951/171392",73
"GO:0072678","BP","GO:0072678","T cell migration","19/1578","59/17913",3.64131045102183e-07,1.30713444857595e-05,9.90010789647384e-06,"101/6348/2833/1880/6352/4345/3676/1235/3383/8740/23143/199/351/387695/29108/1399/5293/11035/1901",19
"GO:0006809","BP","GO:0006809","nitric oxide biosynthetic process","22/1578","76/17913",3.65489138973129e-07,1.30713444857595e-05,9.90010789647384e-06,"857/54/3643/10365/6095/1545/2644/3383/3586/1728/7124/706/23564/80149/199/1906/140885/2185/207/2643/3689/2475",22
"GO:0023023","MF","GO:0023023","MHC protein complex binding","13/1569","25/16969",6.17968844226153e-08,1.3703459120715e-05,1.22455405184814e-05,"3109/931/5315/3123/3112/3111/3108/481/975/3122/972/3312/10859",13
"GO:0043281","BP","GO:0043281","regulation of cysteine-type endopeptidase activity involved in apoptotic process","40/1578","196/17913",3.87058036507084e-07,1.3757285025974e-05,1.04196325227346e-05,"9709/4609/5366/8743/2537/27074/834/355/5272/1032/10550/939/960/8837/3146/3932/7124/8740/10018/6478/23204/25816/9994/2934/4193/5329/6091/114769/29108/207/79886/1718/10049/9451/96459/2852/9026/3336/4217/5978",40
"GO:0042089","BP","GO:0042089","cytokine biosynthetic process","29/1578","120/17913",4.01773039466836e-07,1.41926942407978e-05,1.07494071844437e-05,"942/10148/3162/3315/3659/3662/4050/7538/1051/941/10643/3586/5788/7124/115650/5724/916/351/2625/3902/7096/51465/1536/1958/7189/3635/3665/10859/28951",29
"GO:0045730","BP","GO:0045730","respiratory burst","14/1578","34/17913",4.10810866581652e-07,1.43682405681517e-05,1.08823642481587e-05,"1043/11221/3512/4688/3643/100133941/3055/3493/1604/653361/2896/4689/1536/5293",14
"GO:0032663","BP","GO:0032663","regulation of interleukin-2 production","18/1578","54/17913",4.11733187520847e-07,1.43682405681517e-05,1.08823642481587e-05,"942/3662/7538/301/30009/7128/9308/941/2633/5788/84868/5142/916/861/2625/3902/7189/7430",18
"GO:0072331","BP","GO:0072331","signal transduction by p53 class mediator","49/1578","264/17913",4.24545714743551e-07,1.47261097921287e-05,1.11534108825779e-05,"7832/1026/54541/5366/28984/10538/6659/4646/472/641/960/1027/1647/1263/3090/84289/5164/83667/54971/8851/23612/94241/580/79813/10614/4193/4683/6794/11073/25946/835/891/2309/29108/6875/6908/9100/57646/207/972/1859/204851/3428/3622/5883/84154/50484/54700/6872",49
"GO:0002824","BP","GO:0002824","positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","24/1578","89/17913",4.66607127528672e-07,1.60881667084437e-05,1.2185019409715e-05,"84807/10673/301/30009/100/2208/10666/958/941/4049/5788/7124/115650/29126/975/8809/7292/2207/2625/7037/64332/7189/3133/3134",24
"GO:1905897","BP","GO:1905897","regulation of response to endoplasmic reticulum stress","23/1578","83/17913",4.74119124197406e-07,1.62498685543373e-05,1.23074907991845e-05,"1649/91319/9709/3309/5366/4189/7494/857/7873/598/2081/10018/1388/90993/5611/4690/51465/29761/2213/23645/9451/10525/337867",23
"GO:0042107","BP","GO:0042107","cytokine metabolic process","29/1578","121/17913",4.84505998083847e-07,1.65076067276142e-05,1.25026991595228e-05,"942/10148/3162/3315/3659/3662/4050/7538/1051/941/10643/3586/5788/7124/115650/5724/916/351/2625/3902/7096/51465/1536/1958/7189/3635/3665/10859/28951",29
"GO:0071556","CC","GO:0071556","integral component of lumenal side of endoplasmic reticulum membrane","13/1613","29/18678",2.56954768996069e-07,1.74158232319558e-05,1.44555840803636e-05,"3117/3119/3123/3115/811/3105/3122/3113/81502/972/3133/3134/121665",13
"GO:0098553","CC","GO:0098553","lumenal side of endoplasmic reticulum membrane","13/1613","29/18678",2.56954768996069e-07,1.74158232319558e-05,1.44555840803636e-05,"3117/3119/3123/3115/811/3105/3122/3113/81502/972/3133/3134/121665",13
"GO:2001057","BP","GO:2001057","reactive nitrogen species metabolic process","23/1578","84/17913",5.98970546728749e-07,2.02874847533184e-05,1.53655416414688e-05,"857/54/3643/10365/6095/1545/2644/3383/3586/1728/7124/706/23564/54996/80149/199/1906/140885/2185/207/2643/3689/2475",23
"GO:0050727","BP","GO:0050727","regulation of inflammatory response","75/1578","479/17913",6.33070377469176e-07,2.13170715407457e-05,1.61453405592785e-05,"101/330/6348/3514/28778/4792/6352/1236/1075/11221/3500/3502/3503/27250/26228/11274/301/1051/28908/3539/283131/7128/54/100/4345/5199/3479/4907/6095/472/1776/3055/3586/4049/11343/118788/5788/7124/7133/1604/3559/199713/9021/975/1269/1380/7292/80149/351/966/2207/2625/2896/55540/7850/3572/140885/7130/8600/2213/2879/9258/64332/9975/29108/8482/1540/2113/2161/2852/3133/3689/222236/253260/81793",75
"GO:0071887","BP","GO:0071887","leukocyte apoptotic process","26/1578","103/17913",6.42443532037019e-07,2.15069177759835e-05,1.62891282327379e-05,"101/56891/1831/6352/1236/84807/100/939/3586/3958/10018/3559/29126/1029/23657/652/2207/1178/207/972/1399/96459/3665/10859/5293/11035",26
"GO:0044389","MF","GO:0044389","ubiquitin-like protein ligase binding","55/1569","286/16969",1.21267920576406e-07,2.15129291102545e-05,1.92241566724282e-05,"1026/3309/3725/4792/9618/10221/10628/57379/151636/83666/10376/1051/7185/57761/7167/811/958/1959/7133/7345/637/23710/843/1152/3716/81631/5567/11124/81502/84557/4193/51701/26191/7188/51465/29761/891/23586/9258/2185/8878/7189/203068/71/3301/3312/9927/10783/4090/51429/6772/28951/4591/7414/171392",55
"GO:1904950","BP","GO:1904950","negative regulation of establishment of protein localization","39/1578","193/17913",7.01656009982146e-07,2.33533832686543e-05,1.76876230566232e-05,"91319/3638/28984/933/55691/11142/301/307/1992/7128/4345/5530/2633/3586/415116/5552/7124/7351/10385/199713/80223/80149/580/7850/80762/26191/51465/114769/2213/90007/4763/79651/3301/7430/3033/10859/5978/337867/11060",39
"GO:0043123","BP","GO:0043123","positive regulation of I-kappaB kinase/NF-kappaB signaling","36/1578","172/17913",7.72284972902985e-07,2.55564188159505e-05,1.93561805368244e-05,"330/3162/3956/5966/6275/92610/8743/1236/11040/834/958/8837/7124/80216/2534/843/6574/1499/51523/9188/2316/4215/57506/92140/80762/8600/7188/10537/114769/142678/7189/207/972/10783/57162/7706",36
"GO:1903531","BP","GO:1903531","negative regulation of secretion by cell","40/1578","202/17913",8.77952122528146e-07,2.88871332658118e-05,2.18788309391525e-05,"3162/28984/933/55691/301/307/1992/7128/4345/5530/2633/3586/415116/5552/7124/7133/7351/10385/11314/199713/80223/29091/80149/18/1906/7850/26191/114769/2213/90007/4763/79651/8832/634/7430/2332/3033/3134/10859/5978",40
"GO:0043903","BP","GO:0043903","regulation of symbiosis, encompassing mutualism through parasitism","44/1578","232/17913",8.85178147718244e-07,2.89594078100094e-05,2.19335709688797e-05,"6348/6351/3434/3394/9636/3725/3956/7538/6352/27074/857/10581/820/8519/3586/4049/8638/5359/7124/302/10018/3669/5479/5437/80149/2934/57506/79720/164668/4938/8878/972/9150/63901/2332/3312/3428/4940/5978/9869/6667/6772/7706/9217",44
"GO:0002700","BP","GO:0002700","regulation of production of molecular mediator of immune response","31/1578","138/17913",9.06007514364073e-07,2.94733969927024e-05,2.23228613262584e-05,"3162/933/7494/30009/3566/958/3586/51237/5788/7124/7133/975/8809/10417/7293/7292/9188/2207/2625/57506/7037/1178/23586/2213/10039/8482/7189/972/3133/3134/10859",31
"GO:0043525","BP","GO:0043525","positive regulation of neuron apoptotic process","18/1578","57/17913",1.02030046670056e-06,3.30050004902349e-05,2.4997663119695e-05,"6348/1649/3725/4605/472/1728/7124/10018/8851/429/468/1499/2896/835/1522/2309/4763/997",18
"GO:0035456","BP","GO:0035456","response to interferon-beta","12/1578","27/17913",1.03820958691191e-06,3.32066925069566e-05,2.51504226716735e-05,"3659/4332/54739/9447/824/10581/8519/5359/997/3428/87178/6772",12
"GO:0048525","BP","GO:0048525","negative regulation of viral process","25/1578","99/17913",1.04099224745435e-06,3.32066925069566e-05,2.51504226716735e-05,"6348/6351/3434/9636/3725/7538/6352/10581/8519/8638/5359/7124/3669/80149/2934/57506/164668/4938/63901/3428/4940/5978/9869/6772/7706",25
"GO:0051098","BP","GO:0051098","regulation of binding","61/1578","368/17913",1.04383663490086e-06,3.32066925069566e-05,2.51504226716735e-05,"1649/9709/3162/3309/3434/3662/3725/4792/9618/151636/3148/83666/11040/3925/857/9236/3433/57761/3479/3676/5530/51053/3146/3586/55323/3958/6281/6653/302/1193/340061/3280/23462/64853/351/652/805/1499/2625/4830/5824/5329/10418/8600/60/114769/1522/5195/5914/7189/207/1540/9775/2332/9026/3428/8932/4089/121665/6872/171392",61
"GO:0051224","BP","GO:0051224","negative regulation of protein transport","38/1578","189/17913",1.10502313387451e-06,3.49600176090628e-05,2.64783738787859e-05,"91319/3638/28984/933/55691/11142/301/307/1992/7128/4345/5530/2633/3586/415116/5552/7124/7351/10385/199713/80223/80149/580/7850/80762/26191/51465/114769/2213/90007/4763/79651/7430/3033/10859/5978/337867/11060",38
"GO:0035966","BP","GO:0035966","response to topologically incorrect protein","36/1578","175/17913",1.19207405728798e-06,3.75079913763071e-05,2.84081841779932e-05,"1649/91319/9709/3309/3315/23753/4189/7494/440/7184/4000/7873/64061/811/51726/2081/467/10018/79094/468/1388/90993/5611/4690/92305/23645/3301/9451/2161/3312/3336/10525/9927/56005/10130/9217",36
"GO:0046209","BP","GO:0046209","nitric oxide metabolic process","22/1578","81/17913",1.21649966720569e-06,3.80685058900564e-05,2.88327123640342e-05,"857/54/3643/10365/6095/1545/2644/3383/3586/1728/7124/706/23564/80149/199/1906/140885/2185/207/2643/3689/2475",22
"GO:1901214","BP","GO:1901214","regulation of neuron death","54/1578","313/17913",1.23303775631368e-06,3.83774670316441e-05,2.90667164973404e-05,"101/7832/6348/1649/54541/3162/3725/5641/5966/6352/824/1051/4605/4345/472/598/3586/1728/6653/7124/7133/10018/2534/8851/1435/4915/23657/429/468/1499/2625/2896/84678/7248/835/1522/1958/2213/2309/4763/2185/207/997/1718/2730/3134/10525/3689/4217/2475/135112/26012/5978/10617",54
"GO:0006986","BP","GO:0006986","response to unfolded protein","34/1578","161/17913",1.25147596825487e-06,3.85347520064789e-05,2.91858425920627e-05,"1649/91319/9709/3309/3315/4189/7494/440/7184/4000/7873/64061/811/51726/2081/467/10018/79094/468/1388/90993/5611/4690/92305/23645/3301/9451/3312/3336/10525/9927/56005/10130/9217",34
"GO:0071706","BP","GO:0071706","tumor necrosis factor superfamily cytokine production","34/1578","161/17913",1.25147596825487e-06,3.85347520064789e-05,2.91858425920627e-05,"101/6348/942/3315/7538/6504/7128/54/3479/3146/3586/5788/706/84868/5724/29126/10417/80149/351/2207/57506/26191/140885/7096/51465/1536/23586/29108/5914/26137/83786/2841/3133/10859",34
"GO:0071236","BP","GO:0071236","cellular response to antibiotic","32/1578","147/17913",1.26966479093501e-06,3.88868609904455e-05,2.94525264772885e-05,"664/1396/3309/3399/7128/1471/10365/1027/1545/3586/23135/1728/2146/5660/94241/80149/196/3709/3779/84557/4193/23064/140885/1536/1946/1958/2309/388/2113/4217/59338/11035",32
"GO:0031669","BP","GO:0031669","cellular response to nutrient levels","42/1578","220/17913",1.30070932577048e-06,3.96269010464891e-05,3.00130255453473e-05,"1026/3162/3309/3725/5366/53335/7494/440/968/355/7184/5292/2752/3383/5032/7351/360/467/2534/5164/83667/7071/81631/54468/7378/80149/468/84557/4193/7248/1536/81929/490/9451/96459/3312/3428/4217/2475/9463/6872/27327",42
"GO:0030316","BP","GO:0030316","osteoclast differentiation","24/1578","94/17913",1.37474462783652e-06,4.16619977214879e-05,3.15543877735552e-05,"6348/1880/3726/1051/1230/7124/302/10766/975/1435/10272/7071/1499/2207/7037/8600/79705/4763/7189/3635/10859/11006/2475/171392",24
"GO:0002456","BP","GO:0002456","T cell mediated immunity","23/1578","88/17913",1.46167345749047e-06,4.40644804619379e-05,3.33740045984184e-05,"1075/30009/3146/3383/5788/7133/1604/975/8809/7292/11118/2625/23180/1178/2213/7189/634/3133/3134/10859/5532/5873/11035",23
"GO:1903555","BP","GO:1903555","regulation of tumor necrosis factor superfamily cytokine production","33/1578","155/17913",1.47521921203058e-06,4.42412094941255e-05,3.35078574311552e-05,"101/6348/942/3315/7538/6504/7128/54/3479/3586/5788/706/84868/5724/29126/10417/80149/351/2207/57506/26191/140885/7096/51465/1536/23586/29108/5914/26137/83786/2841/3133/10859",33
"GO:0050871","BP","GO:0050871","positive regulation of B cell activation","20/1578","70/17913",1.54523776487986e-06,4.61009277211308e-05,3.49163897458264e-05,"1026/1880/10673/7494/30009/100/939/958/55795/5788/115650/952/975/7293/7292/7037/4773/972/3635/57162",20
"GO:0070482","BP","GO:0070482","response to oxygen levels","63/1578","389/17913",1.57269487747349e-06,4.66782324973834e-05,3.53536347117346e-05,"101/664/1026/10370/54541/3162/4609/5315/5366/28984/677/2023/824/857/355/7184/4000/100/1471/5230/6095/472/100133941/1027/8837/1978/3383/4049/1263/7351/360/665/952/4524/481/3778/18/468/1906/3709/3779/4193/9124/5664/7248/114769/891/1536/1958/2309/55662/4763/2185/207/23545/2113/10525/378938/2475/5163/9463/5978/4089",63
"GO:0045088","BP","GO:0045088","regulation of innate immune response","69/1578","440/17913",1.67213157678915e-06,4.9375044200779e-05,3.73961734015516e-05,"101/330/1690/3659/3662/5641/4332/4792/8651/92610/9447/6352/11221/3459/83666/11274/857/2268/7184/5272/7128/10666/3055/3146/118788/5359/80216/11314/2534/84868/5971/114836/9021/340061/55601/3716/5567/2207/2896/10614/3902/4214/57506/26191/23180/7096/81622/23586/2213/3460/9258/29108/7189/634/1508/1540/2672/3133/3134/3428/3665/3689/10859/84166/57162/9698/9252/6772/81793",69
"GO:0036293","BP","GO:0036293","response to decreased oxygen levels","60/1578","365/17913",1.69037507207693e-06,4.9659079923566e-05,3.76112992675333e-05,"101/664/10370/54541/3162/4609/5315/5366/28984/677/2023/824/857/7184/4000/100/1471/5230/6095/472/100133941/1027/8837/1978/3383/4049/1263/7351/360/665/952/4524/481/3778/18/468/1906/3709/3779/4193/9124/5664/7248/114769/891/1536/1958/2309/55662/4763/2185/207/2113/10525/378938/2475/5163/9463/5978/4089",60
"GO:2001234","BP","GO:2001234","negative regulation of apoptotic signaling pathway","42/1578","223/17913",1.87791827368191e-06,5.48885960399008e-05,4.15720833976178e-05,"9709/3162/3315/8743/2023/3148/2537/7494/355/4000/7128/1032/3479/598/960/8837/2017/3383/3958/8682/7124/637/2534/6478/652/90993/1499/4193/5329/10771/25946/64114/207/79886/972/1495/3301/2730/10525/3622/50484/54700",42
"GO:0009897","CC","GO:0009897","external side of plasma membrane","39/1613","199/18678",9.65212855907622e-07,5.5294049474743e-05,4.58954923163959e-05,"2683/931/969/973/118429/301/824/100/9308/2208/3643/6382/2015/811/1230/958/3383/5788/7124/115650/3559/916/3560/3688/5340/966/3902/7037/308/1946/2213/8482/972/10495/3561/3689/10859/4217/1901",39
"GO:0045121","CC","GO:0045121","membrane raft","53/1613","309/18678",1.0271313117027e-06,5.5294049474743e-05,4.58954923163959e-05,"330/3162/931/962/973/10376/824/857/355/7846/3643/5230/10666/100133941/8837/3055/3383/3932/4118/5359/5788/6281/7124/7133/79026/302/1604/2534/10287/481/999/3688/3778/27040/351/1499/2824/55824/23180/7096/476/1946/2185/203068/490/682/1495/7430/2319/3635/3689/55361/1901",53
"GO:0098857","CC","GO:0098857","membrane microdomain","53/1613","310/18678",1.13708884301804e-06,5.5294049474743e-05,4.58954923163959e-05,"330/3162/931/962/973/10376/824/857/355/7846/3643/5230/10666/100133941/8837/3055/3383/3932/4118/5359/5788/6281/7124/7133/79026/302/1604/2534/10287/481/999/3688/3778/27040/351/1499/2824/55824/23180/7096/476/1946/2185/203068/490/682/1495/7430/2319/3635/3689/55361/1901",53
"GO:0005912","CC","GO:0005912","adherens junction","75/1613","496/18678",1.17839777569125e-06,5.5294049474743e-05,4.58954923163959e-05,"3309/3315/4082/6282/7431/55691/23224/301/824/857/7184/54800/3676/811/960/4267/2017/51466/3055/3383/5788/79026/302/83478/3482/5479/5782/6645/8470/6904/975/999/3688/3716/29091/966/1266/1499/1500/4921/1656/2316/2934/3987/9124/9260/5329/60/308/55971/1946/90952/4739/2923/2185/388/6237/71/9564/682/634/23122/1495/7430/2274/2319/3312/10525/4008/23385/5339/5500/25996/29766/7414",75
"GO:0002706","BP","GO:0002706","regulation of lymphocyte mediated immunity","30/1578","136/17913",2.01987908030605e-06,5.87397158808194e-05,4.44888837305049e-05,"5272/30009/2208/10666/958/3146/3586/4049/5788/7124/7133/84868/114836/975/8809/7292/2207/2625/3902/7037/1178/2213/10039/7189/634/3133/3134/10859/5532/11035",30
"GO:0050777","BP","GO:0050777","negative regulation of immune response","31/1578","143/17913",2.03143941868788e-06,5.87790360442452e-05,4.45186644359898e-05,"3162/64092/11221/301/5272/30009/7128/3566/3586/3958/5788/7124/11314/1604/84868/3559/7292/80149/966/2896/2213/10039/8832/634/3133/3134/3428/3635/10859/84166/5532",31
"GO:0032652","BP","GO:0032652","regulation of interleukin-1 production","24/1578","96/17913",2.06415515071621e-06,5.94270267891196e-05,4.50094462600908e-05,"6348/3315/9447/1236/301/834/1992/7128/54/3479/3146/3586/84868/3495/199713/80149/351/7850/140885/114769/1958/29108/634/3428",24
"GO:0071241","BP","GO:0071241","cellular response to inorganic substance","38/1578","194/17913",2.15291430322132e-06,6.16740326266088e-05,4.6711306406106e-05,"241/664/3162/3309/3398/3725/3726/5641/4502/10235/641/811/1027/8837/84329/4493/1728/706/653361/999/10272/4501/56160/351/468/1906/2934/84557/891/1536/7518/207/9451/9775/2332/3727/23385/23514",38
"GO:0002698","BP","GO:0002698","negative regulation of immune effector process","27/1578","116/17913",2.18294774489209e-06,6.22248174014291e-05,4.71284653834703e-05,"3162/933/11221/301/5272/30009/3566/3586/3958/5788/7124/11314/1604/84868/3559/7292/80149/966/2896/2213/10039/8832/634/3133/3134/10859/5532",27
"GO:0007162","BP","GO:0007162","negative regulation of cell adhesion","48/1578","271/17913",2.22747998218804e-06,6.31814272780234e-05,4.78529923059635e-05,"3659/3956/28984/8651/84807/301/1051/30009/6370/3566/1545/2633/3146/3586/3958/5788/10385/11314/84868/3559/54900/8379/10507/6904/29126/999/1029/80380/5340/861/201633/7292/80149/18/652/3902/26191/23075/1946/2213/4763/864/207/972/634/23122/10859/57162",48
"GO:0002562","BP","GO:0002562","somatic diversification of immune receptors via germline recombination within a single locus","18/1578","60/17913",2.35454283595904e-06,6.58129012109329e-05,4.98460448103133e-05,"57379/10538/3148/30009/472/1235/958/3146/3586/5788/6932/2956/7292/4683/165918/23075/7037/10039",18
"GO:0016444","BP","GO:0016444","somatic cell DNA recombination","18/1578","60/17913",2.35454283595904e-06,6.58129012109329e-05,4.98460448103133e-05,"57379/10538/3148/30009/472/1235/958/3146/3586/5788/6932/2956/7292/4683/165918/23075/7037/10039",18
"GO:2000401","BP","GO:2000401","regulation of lymphocyte migration","18/1578","60/17913",2.35454283595904e-06,6.58129012109329e-05,4.98460448103133e-05,"101/6348/6351/257144/6352/4345/3676/1235/8740/23143/199/351/387695/2185/29108/207/1399/11035",18
"GO:0030595","BP","GO:0030595","leukocyte chemotaxis","37/1578","188/17913",2.59365978755169e-06,7.21463432691914e-05,5.46429316034917e-05,"101/6348/6351/2833/1880/5641/6352/1236/26228/301/3603/811/1230/1235/3146/3586/3958/8740/5142/1269/1435/23604/5919/199/387695/51192/1906/23075/8600/2185/972/2841/3689/120425/1130/5293/1901",37
"GO:0051048","BP","GO:0051048","negative regulation of secretion","42/1578","226/17913",2.68626949052961e-06,7.43631717618724e-05,5.6321935725021e-05,"3162/28984/933/55691/301/307/1992/7128/100/4345/5530/2633/3586/415116/5552/7124/7133/7351/10385/11314/199713/80223/29091/80149/18/1906/7850/26191/114769/2213/90007/4763/79651/972/8832/634/7430/2332/3033/3134/10859/5978",42
"GO:0002437","BP","GO:0002437","inflammatory response to antigenic stimulus","15/1578","44/17913",2.74538130417334e-06,7.52757407115718e-05,5.70131064821561e-05,"1236/3148/968/3146/3383/3586/23135/4049/7124/3559/975/2207/2625/2213/3133",15
"GO:1903573","BP","GO:1903573","negative regulation of response to endoplasmic reticulum stress","15/1578","44/17913",2.74538130417334e-06,7.52757407115718e-05,5.70131064821561e-05,"91319/9709/3309/4189/7494/598/1388/90993/5611/4690/51465/29761/23645/10525/337867",15
"GO:0030890","BP","GO:0030890","positive regulation of B cell proliferation","14/1578","39/17913",2.92053035373325e-06,7.96986434919244e-05,6.03629695959933e-05,"1026/1880/10673/100/958/5788/115650/952/975/7293/7037/4773/972/57162",14
"GO:0033209","BP","GO:0033209","tumor necrosis factor-mediated signaling pathway","34/1578","167/17913",2.97997275205935e-06,8.09371844639517e-05,6.13010283603868e-05,"330/4050/4792/9447/10673/834/8970/7128/7185/939/958/970/4049/7124/115650/7133/8740/608/8784/8742/23495/7293/7292/3987/8600/114769/2309/2185/29108/1540/204851/6772/55504/171392",34
"GO:0031227","CC","GO:0031227","intrinsic component of endoplasmic reticulum membrane","29/1613","131/18678",1.86124393878994e-06,8.10970573329903e-05,6.73126567336813e-05,"91319/3117/3119/3309/3638/3123/3115/811/2081/23457/3105/23204/3122/1388/10170/3113/81502/6253/54020/2542/57171/2923/55331/972/9451/57488/3133/3134/121665",29
"GO:0042136","BP","GO:0042136","neurotransmitter biosynthetic process","24/1578","98/17913",3.05725737475177e-06,8.26464223653554e-05,6.25955883548139e-05,"857/54/3643/10365/6095/1545/2644/3383/3586/1728/7124/706/23564/80149/18/199/1906/140885/51733/2185/207/2643/3689/2475",24
"GO:0070227","BP","GO:0070227","lymphocyte apoptotic process","19/1578","67/17913",3.17489704929688e-06,8.54255009806142e-05,6.47004351954598e-05,"101/56891/1831/6352/84807/100/939/3586/3958/10018/3559/29126/652/1178/207/972/1399/96459/11035",19
