"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050867","BP","GO:0050867","positive regulation of cell activation","89/1578","319/17913",1.42120778511746e-23,7.43937675155121e-21,5.63451086482453e-21,"101/6348/942/1026/10148/1880/3109/3956/8651/6352/1236/1075/11221/84807/5341/26228/10673/7494/301/151888/857/2268/3115/30009/100/9308/3479/3566/10666/100133941/939/958/970/941/160365/9402/3146/3586/3932/1326/55795/5788/115650/8740/10385/952/1604/2534/84868/3559/5724/29126/916/975/3280/80380/861/7293/7292/199/351/388552/2207/2625/3113/3572/4690/4860/7037/8600/4773/64332/29108/5914/864/7189/207/283234/972/1540/2319/3133/3134/23308/3635/3689/10859/11006/57162",89
"GO:0022409","BP","GO:0022409","positive regulation of cell-cell adhesion","77/1578","251/17913",2.37393761889651e-23,1.13909440080051e-20,8.62738908341072e-21,"8728/101/942/10370/10148/3109/3956/8651/6352/1236/11221/84807/10673/7494/301/151888/857/3115/100/9308/3479/3566/3676/100133941/939/960/970/941/160365/9402/3146/3383/3586/3932/1326/5788/7124/115650/8740/10385/1604/2534/84868/3559/5724/29126/916/975/10272/3280/80380/861/7292/199/2625/3113/3572/4690/4860/7037/8600/64332/29108/5914/864/7189/207/283234/972/1540/2113/2319/3133/23308/3689/10859/11006",77
"GO:0051251","BP","GO:0051251","positive regulation of lymphocyte activation","78/1578","258/17913",3.422926337458e-23,1.51609306546793e-20,1.14827399320554e-20,"101/942/1026/10148/1880/3109/3956/8651/6352/1236/11221/84807/10673/7494/301/151888/857/3115/30009/100/9308/3479/3566/100133941/939/958/970/941/160365/9402/3146/3932/1326/55795/5788/115650/8740/10385/952/1604/2534/84868/3559/29126/916/975/3280/80380/861/7293/7292/199/388552/2625/3113/3572/4690/4860/7037/8600/4773/64332/29108/5914/864/7189/207/283234/972/1540/2319/3133/3134/23308/3635/10859/11006/57162",78
"GO:0022407","BP","GO:0022407","regulation of cell-cell adhesion","99/1578","389/17913",8.33688072281152e-23,3.42883994299634e-20,2.59696968681264e-20,"8728/101/942/10370/10148/3109/3659/3956/28984/8651/6352/1236/11221/84807/10673/7494/301/151888/857/1051/3115/30009/100/6370/9308/3479/3566/3676/100133941/939/960/970/941/160365/9402/3146/3383/3586/3932/3958/1326/5788/7124/115650/8740/10385/11314/1604/2534/84868/3559/54900/8379/5724/29126/916/975/999/10272/3280/80380/5340/861/201633/7292/80149/18/199/652/2625/3113/3572/3902/4690/4860/26191/23075/7037/8600/1946/2213/64332/29108/5914/864/7189/207/283234/972/634/1540/2113/2319/3133/23308/3689/10859/11006/57162",99
"GO:0032943","BP","GO:0032943","mononuclear cell proliferation","75/1578","246/17913",1.35954639993168e-22,5.21884544720439e-20,3.95270227011714e-20,"1026/10148/1880/3109/3659/4332/931/6352/933/973/10673/301/1051/3115/100/3479/472/100133941/958/970/160365/3146/3586/3958/51237/5788/115650/7133/8740/10385/11314/952/1604/2534/84868/3559/8379/29126/916/975/1380/1435/3280/80380/7293/7292/196/199/652/11119/896/1499/3113/3572/7940/4690/4860/26191/7037/1178/2213/4773/29108/7189/283234/972/3133/23308/3635/10859/23385/57162/5532/11035/6654",75
"GO:0050870","BP","GO:0050870","positive regulation of T cell activation","66/1578","198/17913",2.11445189390537e-22,7.60938375319196e-20,5.76327249766445e-20,"101/942/10148/3109/3956/8651/6352/1236/11221/84807/10673/7494/301/151888/857/3115/100/9308/3479/3566/100133941/939/970/941/160365/9402/3146/3932/1326/5788/115650/8740/10385/1604/2534/84868/3559/29126/916/975/3280/80380/861/7292/199/2625/3113/3572/4690/4860/7037/8600/64332/29108/5914/864/7189/207/283234/972/1540/2319/3133/23308/10859/11006",66
"GO:0046651","BP","GO:0046651","lymphocyte proliferation","74/1578","244/17913",3.72246084716922e-22,1.26081938576473e-19,9.54932216088055e-20,"1026/10148/1880/3109/3659/4332/931/6352/933/973/10673/301/1051/3115/100/3479/472/100133941/958/970/160365/3146/3586/3958/51237/5788/115650/7133/8740/10385/11314/952/1604/2534/84868/3559/8379/29126/916/975/1380/3280/80380/7293/7292/196/199/652/11119/896/1499/3113/3572/7940/4690/4860/26191/7037/1178/2213/4773/29108/7189/283234/972/3133/23308/3635/10859/23385/57162/5532/11035/6654",74
"GO:0032944","BP","GO:0032944","regulation of mononuclear cell proliferation","66/1578","200/17913",3.9637988618207e-22,1.26797521368687e-19,9.60351969855156e-20,"1026/10148/1880/3109/3659/4332/6352/933/10673/301/1051/3115/100/3479/472/100133941/958/970/160365/3146/3586/3958/51237/5788/115650/7133/10385/11314/952/1604/84868/3559/8379/29126/916/975/1435/3280/80380/7293/7292/196/199/652/1499/3113/3572/7940/4690/4860/26191/7037/1178/2213/4773/29108/7189/283234/972/3133/23308/3635/10859/57162/11035/6654",66
"GO:0070661","BP","GO:0070661","leukocyte proliferation","78/1578","270/17913",7.95739003758985e-22,2.4115079913917e-19,1.82645246125954e-19,"1026/10148/1880/3109/3659/4332/931/6352/933/973/3087/10673/301/1051/3115/7128/100/3479/472/100133941/958/970/160365/3146/3586/3958/51237/5788/115650/7133/8740/10385/11314/952/1604/2534/84868/3559/8379/29126/916/975/1380/1435/3280/80380/7293/7292/196/199/652/11119/896/1499/3113/3572/7940/4690/4860/26191/7037/8600/1178/2213/4773/29108/7189/283234/972/3133/23308/3635/10859/23385/57162/5532/11035/6654",78
"GO:0070663","BP","GO:0070663","regulation of leukocyte proliferation","68/1578","214/17913",1.02208501148505e-21,2.94258274806546e-19,2.22868326451714e-19,"1026/10148/1880/3109/3659/4332/6352/933/3087/10673/301/1051/3115/7128/100/3479/472/100133941/958/970/160365/3146/3586/3958/51237/5788/115650/7133/10385/11314/952/1604/84868/3559/8379/29126/916/975/1435/3280/80380/7293/7292/196/199/652/1499/3113/3572/7940/4690/4860/26191/7037/1178/2213/4773/29108/7189/283234/972/3133/23308/3635/10859/57162/11035/6654",68
