RP11-34P13.7
RP11-34P13.8
FO538757.2
AP006222.2
RP4-669L17.2
RP4-669L17.10
RP5-857K21.4
RP11-206L10.4
RP11-206L10.9
FAM87B
LINC00115
FAM41C
RP11-54O7.1
RP11-54O7.2
SAMD11
NOC2L
KLHL17
PLEKHN1
PERM1
RP11-54O7.17
HES4
ISG15
AGRN
RNF223
C1orf159
LINC01342
RP11-465B22.8
TTLL10
TNFRSF18
TNFRSF4
SDF4
B3GALT6
FAM132A
RP5-902P8.12
UBE2J2
RP5-902P8.10
SCNN1D
ACAP3
PUSL1
CPSF3L
CPTP
TAS1R3
DVL1
MXRA8
AURKAIP1
CCNL2
MRPL20
RP4-758J18.13
ANKRD65
VWA1
ATAD3C
ATAD3B
ATAD3A
TMEM240
SSU72
RP5-832C2.5
C1orf233
RP11-345P4.9
MIB2
MMP23B
CDK11B
RP11-345P4.10
SLC35E2B
RP11-345P4.7
CDK11A
SLC35E2
NADK
GNB1
RP1-140A9.1
CALML6
TMEM52
CFAP74
RP11-547D24.3
PRKCZ
RP5-892K4.1
RP11-181G12.2
FAAP20
RP11-181G12.4
SKI
MORN1
RER1
PEX10
PLCH2
RP3-395M20.2
PANK4
HES5
RP3-395M20.12
RP3-395M20.8
TNFRSF14
RP3-395M20.9
FAM213B
MMEL1
TTC34
LINC00982
PRDM16
RP1-163G9.2
RP11-22L13.1
ARHGEF16
RP11-168F9.2
MEGF6
RP11-46F15.2
TPRG1L
WRAP73
TP73
TP73-AS1
SMIM1
LRRC47
RP1-286D6.5
CEP104
DFFB
C1orf174
LINC01134
RP13-614K11.2
AJAP1
NPHP4
KCNAB2
CHD5
RPL22
RP1-120G22.11
RNF207
ICMT
LINC00337
GPR153
ACOT7
RP1-202O8.3
HES2
ESPN
TNFRSF25
PLEKHG5
NOL9
TAS1R1
ZBTB48
KLHL21
PHF13
THAP3
DNAJC11
RP11-242F24.1
RP11-312B8.1
CAMTA1
VAMP3
PER3
UTS2
TNFRSF9
PARK7
ERRFI1
RP11-431K24.1
RP11-431K24.3
RP11-431K24.4
SLC45A1
RERE
RP5-1115A15.1
RP4-633I8.4
ENO1
ENO1-AS1
